INSTANCE_ID, kcnfs04SAT07, kcnfs04SAT07_SOLVED, kcnfs04SAT07_CUTOFFTIME, kcnfs04SAT07EXITCODE, INSTANCE_ID, march_dl2004, march_dl2004_SOLVED, march_dl2004_CUTOFFTIME, march_dl2004EXITCODE, INSTANCE_ID, minisat20SAT07, minisat20SAT07_SOLVED, minisat20SAT07_CUTOFFTIME, minisat20SAT07EXITCODE, INSTANCE_ID, minisat2.0, minisat2.0_SOLVED, minisat2.0_CUTOFFTIME, minisat2.0EXITCODE, INSTANCE_ID, rsat20, rsat20_SOLVED, rsat20_CUTOFFTIME, rsat20EXITCODE, INSTANCE_ID, vallst, vallst_SOLVED, vallst_CUTOFFTIME, vallstEXITCODE, INSTANCE_ID, zchaff_rand, zchaff_rand_SOLVED, zchaff_rand_CUTOFFTIME, zchaff_randEXITCODE, INSTANCE_ID, tts, tts_SOLVED, tts_CUTOFFTIME, ttsEXITCODE, INSTANCE_ID, picosat846, picosat846_SOLVED, picosat846_CUTOFFTIME, picosat846EXITCODE, INSTANCE_ID, mxc08, mxc08_SOLVED, mxc08_CUTOFFTIME, mxc08EXITCODE, INSTANCE_ID, march_pl, march_pl_SOLVED, march_pl_CUTOFFTIME, march_plEXITCODE, INSTANCE_ID, ranov, ranov_SOLVED, ranov_CUTOFFTIME, ranovEXITCODE, INSTANCE_ID, adaptg2wsat0, adaptg2wsat0_SOLVED, adaptg2wsat0_CUTOFFTIME, adaptg2wsat0EXITCODE, INSTANCE_ID, adaptg2wsatplus, adaptg2wsatplus_SOLVED, adaptg2wsatplus_CUTOFFTIME, adaptg2wsatplusEXITCODE, INSTANCE_ID, gnoveltyplus, gnoveltyplus_SOLVED, gnoveltyplus_CUTOFFTIME, gnoveltyplusEXITCODE, INSTANCE_ID, SATenstein_hgen, SATenstein_hgen_SOLVED, SATenstein_hgen_CUTOFFTIME, SATenstein_hgenEXITCODE, INSTANCE_ID, SATenstein_r3sat, SATenstein_r3sat_SOLVED, SATenstein_r3sat_CUTOFFTIME, SATenstein_r3satEXITCODE, INSTANCE_ID, SATenstein_qcp, SATenstein_qcp_SOLVED, SATenstein_qcp_CUTOFFTIME, SATenstein_qcpEXITCODE, INSTANCE_ID, SATenstein_swgcp, SATenstein_swgcp_SOLVED, SATenstein_swgcp_CUTOFFTIME, SATenstein_swgcpEXITCODE, INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, vars_reduced_depth_1, vars_reduced_depth_4, vars_reduced_depth_16, vars_reduced_depth_64, vars_reduced_depth_256, BestSolution_Mean, BestSolution_CoeffVariance, FirstLocalMinStep_Mean, FirstLocalMinStep_CoeffVariance, FirstLocalMinStep_Median, FirstLocalMinStep_Q10, FirstLocalMinStep_Q90, BestAvgImprovement_Mean, BestAvgImprovement_CoeffVariance, FirstLocalMinRatio_Mean, FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, unit_featuretime, ls_featuretime, lobjois_featuretime
5321371,0,0,3600,0,5321371,3600.21,0,3600,2304,5321371,62.15,2,3600,0,5321371,157.28,2,3600,0,5321371,496.12,2,1200,5120,5321371,686.61,2,3600,5120,5321371,758.96,2,3600,5120,5321371,3600.25,0,3600,2304,5321371,238.9,2,3600,5120,5321371,297.97,2,3600,5120,5321371,3600,0,3600,256,5321371,999999,0,0,0,5321371,999999,0,0,0,5321371,999999,0,0,0,5321371,999999,0,0,0,5321371,999999,0,0,0,5321371,999999,0,0,0,5321371,999999,0,0,0,5321371,999999,0,0,0,5321371,1558,8169,1439,6620,0.082696317,0.233987915,0.217371601,0.298968603,0.897729369,0,1,3.021839022,0.006271874,0.429821243,0.001389854,0.011118833,2.613005256,0,0.093655589,0.141087613,0.006271874,4.201479492,0.000151057,0.625528701,3.329803846,0.526650784,0.196132392,0,1,2.854753591,0.000324789,3.026484305,0,0.015407855,1.395470225,0.130513595,0.006848495,1.48894671,0.000151057,0.182024169,4.053546592,0.090349449,3,5,0.483681704,1371,0.608256572,173,3166,2650,393,1710,1003,1347,18.99894347,0.157720379,14.39440204,22.79496951,22.74005054,15.16801619,21.89648562,16.7245614,20.52528302,0.681253637,0.264989715,6.00E-09,1,0.83313958,0.500005528,0.799800528,0.624944878,0.733095054,0.442364899,0.392892962,0.003912655,0.999997961,0.499983268,0.07987393,0.49993945,0.497919972,0.499746129,0,0.002084781,0.016678249,0.104239055,0.385684503,20.93997735,0.131009321,67.34428086,0.095953749,67,59,76,1.781656899,0.556844144,0.988286577,0.012627708,0.460632482,0.832723194,0.09,0,0.02,1.23,2.08,0.62,2.17,2.17,2
5321372,0,0,3600,2816,5321372,3600.21,0,3600,2304,5321372,87.06,2,3600,0,5321372,232.37,2,3600,0,5321372,3427.95,2,3600,5120,5321372,941.37,2,3600,5120,5321372,708.42,2,3600,5120,5321372,3600.26,0,3600,2304,5321372,280.66,2,3600,5120,5321372,352.91,2,3600,5120,5321372,3600,0,3600,256,5321372,999999,0,0,0,5321372,999999,0,0,0,5321372,999999,0,0,0,5321372,999999,0,0,0,5321372,999999,0,0,0,5321372,999999,0,0,0,5321372,999999,0,0,0,5321372,999999,0,0,0,5321372,1605,8025,1492,6633,0.075737265,0.209859792,0.224935926,0.298960937,0.860444274,0,1,3.018502796,0.005977606,0.416942566,0.001340483,0.010723861,2.554316022,0,0.081109603,0.089552239,0.005977606,4.192330509,0.000150761,0.606814413,3.332967059,0.548743388,0.19075352,0,1,2.832348948,0.000279798,2.883620854,0,0.012814714,1.3595699,0.11322177,0.006589039,1.534874195,0.000150761,0.178953716,4.816230718,0.082543913,4,6,0.508379622,1104.142857,0.529906545,268,2384,2172,471,1289,636,1086,16.62883144,0.213753999,10.97647059,25.8399654,20.5801105,13.24146054,17.61258278,13.99056604,16.81782021,0.701782109,0.230094727,3.00E-07,1,0.833158532,0.552859372,0.79984194,0.665070995,0.74915207,0.454929255,0.31177414,0.07219749,0.999986259,0.499980653,0.162173758,0.499927265,0.492306316,0.499529701,0,0.006032172,0.030160858,0.081769437,0.081769437,21.43224299,0.160302187,69.37733645,0.105254204,69,61,78,1.197801552,0.625508126,0.981209381,0.027550628,0.452756227,0.845180895,0.1,0,0.02,1.32,2.08,0.82,2.1,2.17,2
5321373,0,0,3600,2816,5321373,3600.22,0,3600,2304,5321373,83.98,2,3600,0,5321373,1411.95,2,3600,0,5321373,3600.22,0,3600,2304,5321373,882.3,2,3600,5120,5321373,1987.52,2,3600,5120,5321373,3600.27,0,3600,2304,5321373,592.76,2,3600,5120,5321373,243.52,2,3600,5120,5321373,3600,0,3600,256,5321373,999999,0,0,0,5321373,999999,0,0,0,5321373,999999,0,0,0,5321373,999999,0,0,0,5321373,999999,0,0,0,5321373,999999,0,0,0,5321373,999999,0,0,0,5321373,999999,0,0,0,5321373,1587,8013,1465,6565,0.083276451,0.220563595,0.223153085,0.289005651,0.898585591,0,1,2.941828163,0.006019511,0.425925552,0.001365188,0.010921502,2.54759912,0,0.090479817,0.098857578,0.006019511,4.183713649,0.000152323,0.603351104,3.349745814,0.535150289,0.206333115,0,1,2.867102931,0.000277924,2.48726062,0,0.012033511,1.324256727,0.115156131,0.006728618,1.526279739,0.000152323,0.179588728,4.443989071,0.113034001,4,6,0.70284555,1132.5,0.682983779,177,3067,1909,249,1740,563,996,17.62132442,0.270609121,11.55417407,26.45516792,25.54425287,11.87632979,21.13421829,13.24669604,18.05900383,0.698607711,0.230578138,4.60E-08,1,0.83312625,0.530785974,0.799803452,0.664652599,0.748029081,0.448472454,0.342921259,0.050208115,0.999997943,0.49997863,0.134477428,0.499918888,0.490949105,0.499465881,0,0.005460751,0.02116041,0.0778157,0.0778157,22.69410456,0.181496511,69.00444939,0.100987526,69,60,77,1.275624317,0.634181752,0.981845712,0.044200429,0.4267185,0.813561872,0.09,0,0.02,1.25,2.06,0.73,2.08,2.15,2
5321374,0,0,3600,2816,5321374,1223.48,2,3600,5120,5321374,738.42,2,3600,0,5321374,1202.33,2,3600,0,5321374,3600.23,0,3600,2304,5321374,3600.22,0,3600,2304,5321374,3600.23,0,3600,2304,5321374,3600.26,0,3600,2304,5321374,3600.22,0,3600,2304,5321374,1395.73,2,3600,5120,5321374,3600,0,3600,256,5321374,999999,0,0,0,5321374,999999,0,0,0,5321374,999999,0,0,0,5321374,999999,0,0,0,5321374,999999,0,0,0,5321374,999999,0,0,0,5321374,999999,0,0,0,5321374,999999,0,0,0,5321374,728,17199,668,12052,0.089820359,0.427066047,0.055426485,0.38704034,0.929810892,0,1,1.729988906,0.006953526,0.477119191,0.002994012,0.017964072,1.526121233,0,0.283604381,0.422170594,0.006953526,0.906673824,8.30E-05,0.02787919,3.387668154,0.676784189,0.208600482,0,1,2.889278349,0.001398009,1.139547352,0,0.005808165,3.170668128,0.327829406,0.00852891,0.85045149,0.000248921,0.028294059,4.182908546,0.092421702,4,5,0.475775315,4079,0.075753861,3770,4388,4388,3770,4388,3770,4388,34.59654798,0.017335212,33.99680948,35.19628647,35.19628647,33.99680948,35.19628647,33.99680948,35.19628647,0.778619455,0.220538013,6.31E-07,1,0.916700093,0.499879453,0.906222058,0.734041543,0.805934759,0.256363983,0.898011637,0.009820332,0.977279913,0.499479507,0.019784433,0.497567353,0.031380328,0.059678858,0,0.034431138,0.217065868,0.389221557,0.389221557,20.39464883,0.171702943,134.2842809,0.079099683,134,123,146,5.516065611,0.30192729,0.995463495,0.003539316,0.4278652,0.674380647,0.08,0,0.01,0.74,2.06,0.42,2.17,2.08,2
5321375,0,0,3600,2816,5321375,3600.22,0,3600,2304,5321375,93.73,2,3600,0,5321375,115.41,2,3600,0,5321375,446.34,2,1200,5120,5321375,396.14,2,3600,5120,5321375,856.04,2,3600,5120,5321375,3600.3,0,3600,2304,5321375,249.19,2,3600,5120,5321375,316.53,2,3600,5120,5321375,3600,0,3600,256,5321375,999999,0,0,0,5321375,999999,0,0,0,5321375,999999,0,0,0,5321375,999999,0,0,0,5321375,999999,0,0,0,5321375,999999,0,0,0,5321375,999999,0,0,0,5321375,999999,0,0,0,5321375,1321,7617,1218,6306,0.08456486,0.207897241,0.193149382,0.301950859,0.884331089,0,1,2.951216503,0.007098174,0.458802971,0.001642036,0.013136289,2.57994367,0,0.100856327,0.121788773,0.007098174,4.153384112,0.000158579,0.645892801,3.205707785,0.502266471,0.227916593,0,1,2.797467926,0.000336818,2.553454203,0,0.01284491,1.362291439,0.126228988,0.00816982,1.473812535,0.000158579,0.18981922,3.225965489,0.129640741,3,4,0.534355251,1516.4,0.658345886,48,3088,3088,627,2659,651,1467,17.42059268,0.187458078,11.24082935,20.88792779,20.88792779,11.97916667,20.1095636,16.28304406,18.58280374,0.696040691,0.22999362,4.54E-07,1,0.833156645,0.524471313,0.799877925,0.664945361,0.746228325,0.432974187,0.405921045,0.006521948,0.999997553,0.499981659,0.094163402,0.499933852,0.497630491,0.499730533,0,0.005747126,0.022167488,0.238916256,0.384236453,19.13060429,0.14055073,65.87134503,0.105754503,66,58,75,2.010532373,0.485413837,0.990494715,0.011637532,0.477440415,0.884865689,0.08,0,0.01,0.93,2.06,0.56,2.14,2.13,2
5321376,0,0,3600,2816,5321376,3600.21,0,3600,2304,5321376,71.42,2,3600,0,5321376,340.55,2,3600,0,5321376,3600.23,0,3600,2304,5321376,808.29,2,3600,5120,5321376,1357.38,2,3600,5120,5321376,3600.24,0,3600,2304,5321376,181.34,2,3600,5120,5321376,390.91,2,3600,5120,5321376,3600,0,3600,256,5321376,999999,0,0,0,5321376,999999,0,0,0,5321376,999999,0,0,0,5321376,999999,0,0,0,5321376,999999,0,0,0,5321376,999999,0,0,0,5321376,999999,0,0,0,5321376,999999,0,0,0,5321376,1477,7989,1384,6704,0.067196532,0.191676611,0.206443914,0.287988385,0.904577858,0,1,2.944776662,0.006341115,0.435013588,0.001445087,0.011560694,2.576502532,0,0.086813842,0.102923628,0.006341115,4.164349912,0.000149165,0.621121718,3.218292294,0.521518324,0.21275161,0,1,2.727510298,0.000320855,2.458083599,0,0.011634845,1.338786271,0.124403341,0.007271347,1.505258335,0.000447494,0.180041766,4.520607375,0.110510627,4,5,0.692297612,1337.5,0.608652359,368,2678,2673,535,2326,736,1030,17.58115676,0.121864631,13.85522788,20.91919192,20.58684437,15.29251701,20.49456522,16.55276968,17.44660194,0.699109526,0.229168287,2.66E-07,1,0.833148868,0.543036477,0.799901584,0.665722933,0.749167835,0.440537476,0.354447789,0.006240966,0.99999819,0.49998073,0.114450342,0.499935509,0.494387231,0.499600945,0,0.001445087,0.031791908,0.088150289,0.177023121,22.29514321,0.149307419,67.59153176,0.111296521,68,58,77,1.503374105,0.592762001,0.984841894,0.019295405,0.43492602,0.835164843,0.08,0,0.01,1.15,2.06,0.67,2.13,2.12,2
5321377,0,0,3600,2816,5321377,3600.21,0,3600,2304,5321377,220.2,2,3600,0,5321377,1313.9,2,3600,0,5321377,3600.22,0,3600,2304,5321377,1974.46,2,3600,5120,5321377,1316.92,2,3600,5120,5321377,3600.28,0,3600,2304,5321377,1392.21,2,3600,5120,5321377,480.46,2,3600,5120,5321377,3600,0,3600,256,5321377,999999,0,0,0,5321377,999999,0,0,0,5321377,999999,0,0,0,5321377,999999,0,0,0,5321377,999999,0,0,0,5321377,999999,0,0,0,5321377,999999,0,0,0,5321377,999999,0,0,0,5321377,2123,9177,1505,7397,0.410631229,0.240638097,0.203460863,0.306291913,0.857232693,0,1,2.982649766,0.005769511,0.445658587,0.001328904,0.010631229,2.608671481,0,0.083006624,0.123158037,0.005769511,3.997137266,0.00013519,0.55698256,3.312650685,0.515758635,0.223051086,0,1,2.892199188,0.000318527,2.609833296,0,0.009733676,1.38450944,0.136271461,0.006768121,1.509997779,0.00013519,0.16209274,4.258643617,0.10769971,3,5,0.631091275,1483.818182,0.576570266,270,2907,2662,281,2304,650,1519,18.95104681,0.232137265,11.44483986,25.99173554,25.51384615,13.73792614,22.19486504,15.95580436,18.17784658,0.689127333,0.259011353,1.12E-07,1,0.833146839,0.499995259,0.799804014,0.665489664,0.746846452,0.445561265,0.380847958,0.003332267,0.999998028,0.499982505,0.092684646,0.499933515,0.496201241,0.499701539,0,0.006644518,0.021262458,0.079734219,0.114285714,23.79113924,0.150880392,70.79493671,0.108129376,71,62,80,1.55330368,0.637497867,0.984936098,0.018960121,0.409655413,0.861754588,0.1,0,0.02,1.46,2.09,0.68,2.13,2.12,2
5321378,0,0,3600,2816,5321378,3600.22,0,3600,2304,5321378,62.75,2,3600,0,5321378,179.23,2,3600,0,5321378,3600.22,0,3600,2304,5321378,1112.49,2,3600,5120,5321378,1170.16,2,3600,5120,5321378,3600.25,0,3600,2304,5321378,1186.99,2,3600,5120,5321378,214.96,2,3600,5120,5321378,3600,0,3600,256,5321378,999999,0,0,0,5321378,999999,0,0,0,5321378,999999,0,0,0,5321378,999999,0,0,0,5321378,999999,0,0,0,5321378,999999,0,0,0,5321378,999999,0,0,0,5321378,999999,0,0,0,5321378,1477,7809,1372,6480,0.076530612,0.205092593,0.211728395,0.317622272,0.837835799,0,1,3.020063334,0.006451112,0.437822475,0.001457726,0.011661808,2.572039882,0,0.092746914,0.105709877,0.006451112,4.217927745,0.000154321,0.627777778,3.269154262,0.52509938,0.216297926,0,1,2.798177342,0.000327763,2.877652899,0,0.013425926,1.42212593,0.121141975,0.00723194,1.513351266,0.000154321,0.18441358,4.257476295,0.102700261,4,5,0.570400614,1353.75,0.454678337,56,2514,2094,675,1676,1032,1483,17.13735788,0.156678288,11.375,20.78719173,20.39514498,13.48979592,19.98806113,16.31604938,17.64421855,0.698727097,0.236194334,6.39E-07,1,0.833160745,0.528484809,0.799894195,0.665800863,0.749161511,0.442766761,0.362136118,0.008479606,0.999997823,0.499980705,0.114771218,0.499929831,0.49331697,0.49957141,0.000728863,0.000728863,0.008746356,0.080174927,0.209912536,21.49052397,0.163145413,68.00891862,0.109786152,68,59,78,1.504147993,0.583618925,0.985545501,0.025020177,0.435301118,0.846797722,0.08,0,0.02,1.12,2.06,0.6,2.13,2.14,2
5321379,0,0,3600,0,5321379,3600.21,0,3600,2304,5321379,90.95,2,3600,0,5321379,591.36,2,3600,0,5321379,3600.22,0,3600,2304,5321379,2172.22,2,3600,5120,5321379,2238.36,2,3600,5120,5321379,3600.26,0,3600,2304,5321379,3305.4,2,3600,5120,5321379,230.95,2,3600,5120,5321379,3600,0,3600,256,5321379,999999,0,0,0,5321379,999999,0,0,0,5321379,999999,0,0,0,5321379,999999,0,0,0,5321379,999999,0,0,0,5321379,999999,0,0,0,5321379,999999,0,0,0,5321379,999999,0,0,0,5321379,1339,7095,1232,5771,0.086850649,0.229422977,0.213481199,0.301019275,0.88879697,0,1,2.994501019,0.007292677,0.452134222,0.001623377,0.012987013,2.620042252,0,0.097036909,0.172240513,0.007292677,4.436509103,0.00017328,0.711661757,3.023095967,0.536524886,0.179527807,0,1,2.676704593,0.000338121,2.688299456,0,0.015768498,1.362236412,0.131346387,0.007620953,1.509317174,0.00017328,0.206723272,4.030056864,0.088301076,3,5,0.466508475,1847.666667,0.437293134,772,3263,3263,772,2624,1102,1875,21.01329172,0.090203535,17.7489605,23.05372733,23.05372733,17.7489605,22.88021779,19.41653963,21.40053333,0.685774532,0.241540933,3.19E-07,1,0.833147931,0.5000973,0.799896579,0.612745328,0.749061892,0.425633826,0.429921061,0.001772688,0.999923093,0.499979026,0.056032497,0.499935835,0.497214597,0.499735566,0.001623377,0.012175325,0.563311688,0.638798701,0.638798701,20.23996082,0.146027351,67.42213516,0.103608308,67,59,77,1.850063748,0.519886924,0.988270006,0.013495006,0.446891888,0.862477974,0.08,0,0.01,0.89,2.05,0.54,2.08,2.12,2
5321380,0,0,3600,2816,5321380,3600.22,0,3600,2304,5321380,58.65,2,3600,0,5321380,2481.78,2,3600,0,5321380,3600.22,0,3600,2304,5321380,1899.45,2,3600,5120,5321380,3600.22,0,3600,2304,5321380,3600.25,0,3600,2304,5321380,1351.46,2,3600,5120,5321380,306.08,2,3600,5120,5321380,3600,0,3600,256,5321380,999999,0,0,0,5321380,999999,0,0,0,5321380,999999,0,0,0,5321380,999999,0,0,0,5321380,999999,0,0,0,5321380,999999,0,0,0,5321380,999999,0,0,0,5321380,999999,0,0,0,5321380,1610,8277,1506,6966,0.069057105,0.188199828,0.216192937,0.28638305,0.911220384,0,1,2.907731472,0.005779733,0.436219102,0.001328021,0.01062417,2.573228142,0,0.093310365,0.105799598,0.005779733,4.177824315,0.000143554,0.583692219,3.382843986,0.545593848,0.199265058,0,1,2.877914095,0.000306364,2.55952002,0,0.010910135,1.401774256,0.128911858,0.00643688,1.525256662,0.000143554,0.171691071,4.758139535,0.090968383,4,6,0.569309682,1233.923077,0.599994244,114,3170,2179,488,1392,844,1157,16.23625934,0.190822664,10.53688525,21.50283912,19.82802013,11.71052632,18.98522727,14.73795319,16.24798061,0.700158001,0.234282332,7.14E-07,1,0.833147759,0.501509843,0.799825418,0.665705437,0.749026517,0.447413143,0.375354674,0.003661964,0.999993731,0.499980193,0.098724255,0.49992081,0.490941769,0.499451185,0,0.009296149,0.029880478,0.126162019,0.150730412,24.55639098,0.141780497,71.72431078,0.095719003,71,63,81,1.413541757,0.63165617,0.982100229,0.016686098,0.418385319,0.812701554,0.09,0,0.02,1.34,2.07,0.63,2.1,2.12,2
