INSTANCE_ID, kcnfs04SAT07, kcnfs04SAT07_SOLVED, kcnfs04SAT07_CUTOFFTIME, kcnfs04SAT07EXITCODE, INSTANCE_ID, march_dl2004, march_dl2004_SOLVED, march_dl2004_CUTOFFTIME, march_dl2004EXITCODE, INSTANCE_ID, minisat20SAT07, minisat20SAT07_SOLVED, minisat20SAT07_CUTOFFTIME, minisat20SAT07EXITCODE, INSTANCE_ID, minisat2.0, minisat2.0_SOLVED, minisat2.0_CUTOFFTIME, minisat2.0EXITCODE, INSTANCE_ID, rsat20, rsat20_SOLVED, rsat20_CUTOFFTIME, rsat20EXITCODE, INSTANCE_ID, vallst, vallst_SOLVED, vallst_CUTOFFTIME, vallstEXITCODE, INSTANCE_ID, zchaff_rand, zchaff_rand_SOLVED, zchaff_rand_CUTOFFTIME, zchaff_randEXITCODE, INSTANCE_ID, tts, tts_SOLVED, tts_CUTOFFTIME, ttsEXITCODE, INSTANCE_ID, picosat846, picosat846_SOLVED, picosat846_CUTOFFTIME, picosat846EXITCODE, INSTANCE_ID, mxc08, mxc08_SOLVED, mxc08_CUTOFFTIME, mxc08EXITCODE, INSTANCE_ID, march_pl, march_pl_SOLVED, march_pl_CUTOFFTIME, march_plEXITCODE, INSTANCE_ID, ranov, ranov_SOLVED, ranov_CUTOFFTIME, ranovEXITCODE, INSTANCE_ID, adaptg2wsat0, adaptg2wsat0_SOLVED, adaptg2wsat0_CUTOFFTIME, adaptg2wsat0EXITCODE, INSTANCE_ID, adaptg2wsatplus, adaptg2wsatplus_SOLVED, adaptg2wsatplus_CUTOFFTIME, adaptg2wsatplusEXITCODE, INSTANCE_ID, gnoveltyplus, gnoveltyplus_SOLVED, gnoveltyplus_CUTOFFTIME, gnoveltyplusEXITCODE, INSTANCE_ID, SATenstein_hgen, SATenstein_hgen_SOLVED, SATenstein_hgen_CUTOFFTIME, SATenstein_hgenEXITCODE, INSTANCE_ID, SATenstein_r3sat, SATenstein_r3sat_SOLVED, SATenstein_r3sat_CUTOFFTIME, SATenstein_r3satEXITCODE, INSTANCE_ID, SATenstein_qcp, SATenstein_qcp_SOLVED, SATenstein_qcp_CUTOFFTIME, SATenstein_qcpEXITCODE, INSTANCE_ID, SATenstein_swgcp, SATenstein_swgcp_SOLVED, SATenstein_swgcp_CUTOFFTIME, SATenstein_swgcpEXITCODE, INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, vars_reduced_depth_1, vars_reduced_depth_4, vars_reduced_depth_16, vars_reduced_depth_64, vars_reduced_depth_256, BestSolution_Mean, BestSolution_CoeffVariance, FirstLocalMinStep_Mean, FirstLocalMinStep_CoeffVariance, FirstLocalMinStep_Median, FirstLocalMinStep_Q10, FirstLocalMinStep_Q90, BestAvgImprovement_Mean, BestAvgImprovement_CoeffVariance, FirstLocalMinRatio_Mean, FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, unit_featuretime, ls_featuretime, lobjois_featuretime
5248672,0,0,3600,2816,5248672,7200.45,0,7200,2304,5248672,452.77,1,3600,0,5248672,317.87,1,3600,0,5248672,50.07,1,1200,2560,5248672,2773.49,1,3600,256,5248672,3600.26,0,3600,2304,5248672,2248.21,0,3600,0,5248672,108.97,1,3600,2560,5248672,185.05,1,3600,2560,5248672,3600.23,0,3600,2304,5248672,648.42,1,3600,2560,5248672,0,0,3600,0,5248672,0,0,3600,0,5248672,45.47,1,3600,2560,5248672,3600.23,0,3600,2304,5248672,3600.23,0,3600,2304,5248672,25.04,1,3600,2560,5248672,25.06,1,3600,2560,5248672,14166,2341084,11586,2288462,0.222682548,0.022994483,0.005062789,0.495989599,1.003439824,0,1,0.791752083,0.000188631,0.73188417,0.000172622,0.003107198,0.104508623,0,0.984049986,0.98526128,0.000188631,0.391539129,8.30E-06,0.000273983,3.098160519,0.813518816,0.179914553,0.032786885,0.992366412,2.55047153,0.000128147,0.536911373,3.50E-06,0.000247328,4.56399662,0.741943279,0.000184042,0.365218601,8.30E-06,0.000263496,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970446928,0.097252562,0.000498491,0.99999897,0.999150177,0.951980298,0.99762723,0.983388298,0.993217939,0.022818612,2.576911783,5.31E-07,0.5,0.044608357,0.000378398,0.015102696,0.002093282,0.006308282,0.089763508,0.132832729,0.132832729,0.132832729,0.132832729,25,0,5749,0,5749,5749,5749,92.86768982,0,0.99995999,0,0.19426463,0.320645607,22.37,0.68,2.99,2.84,2,7.37,34.7,4.39,2.31
5248749,0,0,3600,0,5248749,8.23,1,3600,2560,5248749,16.43,1,3600,0,5248749,0.23,1,3600,0,5248749,0.23,1,1200,2560,5248749,2.32,1,3600,256,5248749,0.68,1,3600,2560,5248749,7.87,1,3600,2560,5248749,0.64,1,3600,2560,5248749,12.25,1,3600,2560,5248749,270.39,1,3600,2560,5248749,22.23,1,3600,2560,5248749,12.2,1,3600,2560,5248749,11.87,1,3600,2560,5248749,0.75,1,3600,2560,5248749,0.6,1,3600,2560,5248749,0.74,1,3600,2560,5248749,0.61,1,3600,2560,5248749,0.62,1,3600,2560,5248749,4900,338170,4830,333270,0.014492754,0.014702794,0.014492754,0.493817974,1.010099799,0,1,0.782655532,0.000618117,2.745396432,0.000414079,0.028571429,0.075939604,0,0.98563027,0.98563027,0.000618117,0,0.000618117,0.000618117,0,0.330097087,0,0.330097087,0.330097087,0,0.000306934,0.333478455,0.000138026,0.000411078,2.901904023,0.741245837,0.001051244,0.323518398,0.000618117,0.002226423,3,0,3,3,0,1.375,0.352089395,1,2,2,1,2,1,1,526.5,0.547047085,273,1083,1083,273,882,273,409,0.955556207,0.107896059,0.026141861,0.995679583,0.992034946,0.919011836,0.990308719,0.970430137,0.985397649,0.046687657,1.554274297,0.006426875,0.5,0.101701963,0.0116713,0.041397919,0.014166448,0.021188032,0,0.028364389,0.239130435,0.753830228,0.972463768,0.545454545,3.31662479,2339.818182,0.014061919,2333,2309,2377,34.59891379,0.014479949,0.999929059,0,1,1,13.41,0.1,0.69,2.08,2,3.4,19.17,2.44,2.1
5248671,0,0,3600,2816,5248671,7200.45,0,7200,2304,5248671,110.86,1,3600,0,5248671,92.91,1,3600,0,5248671,11,1,1200,2560,5248671,1574.12,1,3600,256,5248671,3600.25,0,3600,2304,5248671,3600.34,0,3600,2304,5248671,98.77,1,3600,2560,5248671,96.73,1,3600,2560,5248671,3600.22,0,3600,2304,5248671,323.43,1,3600,2560,5248671,204.77,1,3600,2560,5248671,207.57,1,3600,2560,5248671,20.59,1,3600,2560,5248671,3600.23,0,3600,2304,5248671,3600.23,0,3600,2304,5248671,10.83,1,3600,2560,5248671,10.64,1,3600,2560,5248671,10907,1476367,8732,1436843,0.24908383,0.027507529,0.006077212,0.495868173,1.003039466,0,1,0.799979098,0.000250349,0.699302443,0.000229043,0.003664682,0.11484688,0,0.982330011,0.983777629,0.000250349,0.385572832,1.18E-05,0.000361209,3.08772201,0.80782957,0.181311023,0.034825871,0.990825688,2.564735042,0.000168488,0.543755859,2.78E-06,0.000329194,4.569310288,0.73493903,0.000245823,0.360911676,1.18E-05,0.000371648,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960753567,0.083818521,0.003817362,0.999683786,0.998170115,0.919120208,0.996182874,0.959073391,0.973436648,0.007193479,3.994292008,0,0.416241857,0.01478692,7.76E-07,0.006839982,2.91E-05,0.000599264,0.049587723,0.049587723,0.049587723,0.049587723,0.049587723,128,1.18219415,2129.5,1.414213562,2129.5,0,0,70.60643468,0.283713618,1.000295888,0.000520649,0.301849519,0.46919377,12.37,0.43,1.84,2.26,2,5.95,15.22,3.37,2.29
5248707,0,0,3601,0,5248707,7200.44,0,7200,2304,5248707,3601.41,0,3601,2304,5248707,3600.43,0,3600,2304,5248707,1.81,1,1200,2560,5248707,1.25,1,3600,256,5248707,12.2,1,3600,2560,5248707,1.59,1,3600,2560,5248707,0.22,1,3601,2560,5248707,5.07,1,3601,2560,5248707,140.4,1,3600,2560,5248707,4.72,1,3600,2560,5248707,2.44,1,3600,2560,5248707,2.62,1,3600,2560,5248707,0.43,1,3600,2560,5248707,0.3,1,3600,2560,5248707,0.39,1,3600,2560,5248707,0.31,1,3600,2560,5248707,0.3,1,3600,2560,5248707,4900,169120,4830,169050,0.014492754,0.000414079,0.028571429,0.489486651,1.016760273,0,1,0.849523906,0.000816327,2.893968232,0.000414079,0.028571429,0.130226536,0,0.971629695,0.971629695,0.000816327,0,0.000816327,0.000816327,0,0,0,0,0,0,0.000303136,0.33581828,0.000136054,0.000408163,2.690828777,0.732073351,0.001994336,0.255587634,0.001218574,0.003596569,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920425312,0.159999426,0,0.984915506,0.983162265,0.823272357,0.979419315,0.936294022,0.968751418,0.096678907,0.998782501,0.028849385,0.5,0.23098891,0.032056209,0.10696838,0.038767768,0.057140486,0,0.014285714,0.085714286,0.463768116,0.933954451,0.954545455,4.69041576,2217.454545,0.223916499,2322,2273,2363,16.86428401,0.021408096,0.999764959,0.000167298,0.969109731,0.974206508,11.22,0.05,0.54,2.05,2,2.99,14.97,2.3,2.02
5248637,0,0,3601,0,5248637,7200.48,0,7200,2304,5248637,3601.33,0,3601,2304,5248637,289.47,1,3600,0,5248637,3600.28,0,3600,2304,5248637,3600.22,0,3600,2304,5248637,3600.23,0,3600,2304,5248637,3600.31,0,3600,2304,5248637,3601.24,0,3601,2304,5248637,3601.29,0,3601,2304,5248637,3601.25,0,3601,2304,5248637,3600.24,0,3600,2304,5248637,3600.23,0,3600,2304,5248637,3600.23,0,3600,2304,5248637,3600.23,0,3600,2304,5248637,3600.23,0,3600,2304,5248637,3600.23,0,3600,2304,5248637,3600.23,0,3600,2304,5248637,3600.23,0,3600,2304,5248637,131400,1827900,46252,1153770,1.840958229,0.584284563,0.040087712,0.486749274,0.959561841,0,1,1.102767872,5.09E-05,0.578617208,4.32E-05,0.001297241,0.685406939,0,0.783502778,0.893970202,5.09E-05,1.135490988,7.80E-06,0.000227082,1.594861186,0.355842167,0.415392187,0,0.951612903,1.559697204,3.18E-05,1.222372957,8.67E-07,0.000163811,2.764584051,0.675833138,4.69E-05,1.167137303,6.07E-06,0.000260017,14.66666667,0.140100318,12,17,1.098612289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393283774,1.02502089,3.83E-06,0.997995038,0.976674395,0.023672516,0.958441741,0.061828929,0.161989685,0.039189594,0.907830395,0,0.31451854,0.076719547,0.005994926,0.04997207,0.012774793,0.035662094,0.000345931,0.00092969,0.007351033,0.063045922,0.126697224,8694,0,0,0,0,0,0,19.37419513,0,1.036575208,0,0.184975785,0.330947851,9.71,0.41,8.56,2.28,2,6.32,35.05,3.5,2.05
5248670,0,0,3601,2816,5248670,7200.45,0,7200,2304,5248670,188.3,1,3601,0,5248670,6.28,1,3600,0,5248670,2.45,1,1200,2560,5248670,222.36,1,3600,256,5248670,1237.11,1,3600,2560,5248670,3600.29,0,3600,2304,5248670,21,1,3601,2560,5248670,50.25,1,3601,2560,5248670,3601.22,0,3601,2304,5248670,176.5,1,3600,2560,5248670,109.61,1,3600,2560,5248670,95.81,1,3600,2560,5248670,28.18,1,3600,2560,5248670,3600.22,0,3600,2304,5248670,961.12,1,3600,2560,5248670,5.69,1,3600,2560,5248670,5.8,1,3600,2560,5248670,8186,887558,6382,858755,0.282670009,0.033540416,0.007431689,0.494870149,1.004469404,0,1,0.807003889,0.000342575,0.662509832,0.000313381,0.004387339,0.127527782,0,0.980196913,0.981957601,0.000342575,0.378567488,1.75E-05,0.000490245,3.171391019,0.801344174,0.1832114,0.037037037,0.988764045,2.554640941,0.000230024,0.541817257,6.99E-06,0.000452981,4.438707857,0.732693259,0.000338298,0.356265479,1.75E-05,0.000485587,5.333333333,0.088388348,5,6,0.636514168,62.75,1.060292531,4,221,221,4,99,19,51,19.41250307,0.791461613,7.823529412,59,59,7.823529412,18.12121212,11.44615385,17.46153846,0.946346624,0.089294967,0.012558586,0.99919009,0.997113201,0.897330945,0.994494549,0.938071573,0.959970199,0.00460439,6.278410706,0,0.375874835,0.005510315,0,0.001505452,3.20E-08,9.37E-06,0.055155124,0.055155124,0.055155124,0.055155124,0.055155124,31.66666667,0.665659442,2076,0.866033977,3106,0,3106,61.48412699,0.156320739,1.000025628,0.000201032,0.195769351,0.400137586,6.5,0.25,1.05,2.14,2,4.27,9.17,2.88,2.1
5248785,0,0,3600,2816,5248785,1803.79,1,3600,2560,5248785,3600.24,0,3600,2304,5248785,3600.26,0,3600,2304,5248785,0.73,1,1200,2560,5248785,0.69,1,3600,256,5248785,0.61,1,3600,2560,5248785,3600.29,0,3600,2304,5248785,0.18,1,3600,2560,5248785,7.27,1,3600,2560,5248785,2822.67,1,3600,2560,5248785,74.48,1,3600,2560,5248785,28.92,1,3600,2560,5248785,27.45,1,3600,2560,5248785,2.96,1,3600,2560,5248785,0.55,1,3600,2560,5248785,1.81,1,3600,2560,5248785,3.14,1,3600,2560,5248785,3.14,1,3600,2560,5248785,1635,179750,1585,179700,0.031545741,0.000278242,0.008820256,0.481685759,0.630854586,0,1,1.000483726,0.003047638,1.45599944,0.00126183,0.03659306,0.410106351,0,0.029638286,0.932877017,0.003047638,0.857300559,0.00032276,0.006343907,1.377714684,0.247123966,0.401537978,0,0.9,0.587632855,0.000836996,0.96663247,5.57E-06,0.002715637,5.220992972,0.449460211,0.001769953,0.763553504,0.000434057,0.003539232,3.125,0.105830052,3,4,0.376770161,635.8181818,0.4729573,171,1031,1023,312,965,354,548,51.89025097,0.159794379,42.12738854,67.98997494,64.82485876,42.56089744,58.3722334,46.12871287,49.50547445,0.83695247,0.225199247,0.011818628,0.9989113,0.98842655,0.537114676,0.952445852,0.823284774,0.904390973,0.071657125,1.205618232,0,0.347572418,0.19874666,0,0.144978207,1.30E-08,0.002807664,0.010725552,0.010725552,0.011356467,0.319242902,0.451104101,335.4827586,5.29917371,512.5517241,0.198782565,532,485,556,38.31186252,0.591970118,1.028517571,0.149818704,0.593739384,0.638043887,4.81,0.06,0.43,2.06,2,3.32,13.7,2.35,2.01
5248706,0,0,3601,0,5248706,7200.44,0,7200,2304,5248706,3601.31,0,3601,2304,5248706,3600.32,0,3600,2304,5248706,1.47,1,1200,2560,5248706,0.95,1,3600,256,5248706,5.89,1,3600,2560,5248706,0.92,1,3600,2560,5248706,0.13,1,3601,2560,5248706,2.47,1,3601,2560,5248706,266.89,1,3600,2560,5248706,2.33,1,3600,2560,5248706,1.18,1,3600,2560,5248706,1.04,1,3600,2560,5248706,0.24,1,3600,2560,5248706,0.18,1,3600,2560,5248706,0.23,1,3600,2560,5248706,0.18,1,3600,2560,5248706,0.18,1,3600,2560,5248706,3600,106260,3540,106200,0.016949153,0.000564972,0.033333333,0.485955473,1.022807544,0,1,0.864675545,0.001111111,2.673881153,0.000564972,0.033333333,0.146879404,0,0.966996234,0.966996234,0.001111111,0,0.001111111,0.001111111,0,0,0,0,0,0,0.000408636,0.340116876,0.00019774,0.000555556,2.611724493,0.723286252,0.002809537,0.265229093,0.00165725,0.004877589,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946969145,0.014099507,0.923045844,0.976652809,0.963985734,0.928736422,0.958688204,0.934296682,0.947566394,0.089137472,0.214724746,0.043582278,0.118666645,0.114680961,0.064415539,0.107415519,0.072658181,0.089347391,0.016666667,0.05,0.166384181,0.473163842,0.931073446,32.9,6.32455532,1658,0.163100862,1701.5,1658,1741,14.55274457,0.04371176,1.001063676,0.00901619,0.962853107,0.970372717,4.41,0.04,0.28,2.02,2,2.95,7.21,2.21,2.03
5248809,0,0,3601,2816,5248809,8.9,1,3600,2560,5248809,8.98,1,3601,0,5248809,0.17,1,3600,0,5248809,0.22,1,1200,2560,5248809,1.75,1,3600,256,5248809,0.49,1,3600,2560,5248809,3600.25,0,3600,2304,5248809,0.19,1,3601,2560,5248809,7.72,1,3601,2560,5248809,565.59,1,3600,2560,5248809,76.28,1,3600,2560,5248809,30.52,1,3600,2560,5248809,30.21,1,3600,2560,5248809,0.5,1,3600,2560,5248809,0.54,1,3600,2560,5248809,2.27,1,3600,2560,5248809,2.91,1,3600,2560,5248809,2.93,1,3600,2560,5248809,1635,194150,1585,192950,0.031545741,0.006219228,0.008214563,0.48156346,0.661869226,0,1,1.100339379,0.002924976,1.472163718,0.00126183,0.03659306,0.574606544,0,0.096258098,0.937491578,0.002924976,0.842986935,0.000393884,0.006053382,1.365573766,0.341074645,0.355471579,0.023972603,0.9,1.090519781,0.000888905,0.900696923,4.15E-05,0.002565431,5.356408336,0.493765224,0.00165041,0.761529437,0.00040425,0.003296191,3.096774194,0.095470327,3,4,0.31793678,30.875,0.565049345,11,59,59,11,55,19,22,72.65138228,0.193336956,58.27906977,103.9090909,103.9090909,58.27906977,78.75,60.32727273,72.13636364,0.855490488,0.213682715,0.001239736,0.99636682,0.994678203,0.569761303,0.954569335,0.867690732,0.919443648,0.054961371,1.483865922,0,0.422668587,0.131952643,0,0.09510994,1.00E-09,0.003182473,0.029652997,0.114826498,0.21955836,0.440378549,0.772870662,152.7916667,4.7679439,552.5416667,0.217180145,574.5,546,604,45.17291541,0.328571182,1.00755299,0.036766876,0.868575588,0.906828153,5.4,0.06,0.41,2.02,2,3.33,11.38,2.37,2.13
5248748,0,0,3600,0,5248748,4.63,1,3600,2560,5248748,7.88,1,3600,0,5248748,0.16,1,3600,0,5248748,0.13,1,1200,2560,5248748,1.69,1,3600,256,5248748,0.42,1,3600,2560,5248748,4.14,1,3600,2560,5248748,0.23,1,3600,2560,5248748,6.01,1,3600,2560,5248748,126.69,1,3600,2560,5248748,13.15,1,3600,2560,5248748,6.35,1,3600,2560,5248748,5.31,1,3600,2560,5248748,0.44,1,3600,2560,5248748,0.36,1,3600,2560,5248748,0.42,1,3600,2560,5248748,0.36,1,3600,2560,5248748,0.35,1,3600,2560,5248748,3600,212460,3540,208860,0.016949153,0.017236426,0.016949153,0.494235914,1.008305645,0,1,0.795420782,0.00084267,2.534145264,0.000564972,0.033333333,0.086170373,0,0.983213636,0.983213636,0.00084267,0,0.00084267,0.00084267,0,0.329545455,0,0.329545455,0.329545455,0,0.000418478,0.333201627,0.000186728,0.000560184,2.914493886,0.740706693,0.001419636,0.280298079,0.00084267,0.00275304,3,0,3,3,0,1.5,0.333333333,1,2,2,1,2,1,2,420,0.447619048,232,608,608,232,608,232,608,0.960837354,0.016668367,0.889974673,0.984779,0.978067467,0.936724753,0.974596109,0.949090716,0.965181024,0.031883611,0.486913137,0.010790052,0.078095403,0.055829066,0.014552196,0.04413526,0.018133397,0.028008036,0,0.065254237,0.246045198,0.799435028,0.968079096,1656.9,4.472135955,1627.3,0.235629054,1710,1685,1740,30.97120007,0.188588281,1.072909857,0.304388995,1,1,5.47,0.06,0.39,2.02,2,3.32,8.54,2.3,2.04
