INSTANCE_ID, kcnfs04SAT07, kcnfs04SAT07_SOLVED, kcnfs04SAT07_CUTOFFTIME, kcnfs04SAT07EXITCODE, INSTANCE_ID, march_dl2004, march_dl2004_SOLVED, march_dl2004_CUTOFFTIME, march_dl2004EXITCODE, INSTANCE_ID, minisat20SAT07, minisat20SAT07_SOLVED, minisat20SAT07_CUTOFFTIME, minisat20SAT07EXITCODE, INSTANCE_ID, minisat2.0, minisat2.0_SOLVED, minisat2.0_CUTOFFTIME, minisat2.0EXITCODE, INSTANCE_ID, rsat20, rsat20_SOLVED, rsat20_CUTOFFTIME, rsat20EXITCODE, INSTANCE_ID, vallst, vallst_SOLVED, vallst_CUTOFFTIME, vallstEXITCODE, INSTANCE_ID, zchaff_rand, zchaff_rand_SOLVED, zchaff_rand_CUTOFFTIME, zchaff_randEXITCODE, INSTANCE_ID, tts, tts_SOLVED, tts_CUTOFFTIME, ttsEXITCODE, INSTANCE_ID, picosat846, picosat846_SOLVED, picosat846_CUTOFFTIME, picosat846EXITCODE, INSTANCE_ID, mxc08, mxc08_SOLVED, mxc08_CUTOFFTIME, mxc08EXITCODE, INSTANCE_ID, march_pl, march_pl_SOLVED, march_pl_CUTOFFTIME, march_plEXITCODE, INSTANCE_ID, ranov, ranov_SOLVED, ranov_CUTOFFTIME, ranovEXITCODE, INSTANCE_ID, adaptg2wsat0, adaptg2wsat0_SOLVED, adaptg2wsat0_CUTOFFTIME, adaptg2wsat0EXITCODE, INSTANCE_ID, adaptg2wsatplus, adaptg2wsatplus_SOLVED, adaptg2wsatplus_CUTOFFTIME, adaptg2wsatplusEXITCODE, INSTANCE_ID, gnoveltyplus, gnoveltyplus_SOLVED, gnoveltyplus_CUTOFFTIME, gnoveltyplusEXITCODE, INSTANCE_ID, SATenstein_hgen, SATenstein_hgen_SOLVED, SATenstein_hgen_CUTOFFTIME, SATenstein_hgenEXITCODE, INSTANCE_ID, SATenstein_r3sat, SATenstein_r3sat_SOLVED, SATenstein_r3sat_CUTOFFTIME, SATenstein_r3satEXITCODE, INSTANCE_ID, SATenstein_qcp, SATenstein_qcp_SOLVED, SATenstein_qcp_CUTOFFTIME, SATenstein_qcpEXITCODE, INSTANCE_ID, SATenstein_swgcp, SATenstein_swgcp_SOLVED, SATenstein_swgcp_CUTOFFTIME, SATenstein_swgcpEXITCODE, INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, vars_reduced_depth_1, vars_reduced_depth_4, vars_reduced_depth_16, vars_reduced_depth_64, vars_reduced_depth_256, BestSolution_Mean, BestSolution_CoeffVariance, FirstLocalMinStep_Mean, FirstLocalMinStep_CoeffVariance, FirstLocalMinStep_Median, FirstLocalMinStep_Q10, FirstLocalMinStep_Q90, BestAvgImprovement_Mean, BestAvgImprovement_CoeffVariance, FirstLocalMinRatio_Mean, FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, unit_featuretime, ls_featuretime, lobjois_featuretime
5248660,0,0,3600,2816,5248660,7200.45,0,7200,2304,5248660,1187.08,2,3600,0,5248660,1730.62,2,3600,0,5248660,2091.34,2,3600,5120,5248660,3600.22,0,3600,2304,5248660,3600.24,0,3600,2304,5248660,3600.29,0,3600,2304,5248660,3600.22,0,3600,2304,5248660,715.04,2,3600,5120,5248660,3600,0,3600,256,5248660,999999,0,0,0,5248660,999999,0,0,0,5248660,999999,0,0,0,5248660,999999,0,0,0,5248660,999999,0,0,0,5248660,999999,0,0,0,5248660,999999,0,0,0,5248660,999999,0,0,0,5248660,25493,1139180,22504,1104222,0.132820832,0.031658489,0.02037996,0.470940479,1.020810298,0,1,1.174718228,0.00012688,0.829879612,8.89E-05,0.000755421,0.539759047,0,0.880636321,0.880867253,0.00012688,0.626369767,1.72E-05,0.001145603,5.592712903,0.360378975,0.234563435,0,0.976470588,4.374841728,6.01E-05,0.677932155,3.62E-06,0.000635742,4.977467713,0.6675107,0.000122832,0.585325494,1.63E-05,0.000840411,9,0.090721842,8,10,1.098612289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857751173,0.237044469,0,1,0.998600322,0.570464184,0.987321038,0.829047182,0.941957971,0.094265992,1.233123997,0,0.5,0.264608875,0.000218947,0.141057061,0.006312113,0.047646197,0,0.009598294,0.022618201,0.074875578,0.074875578,1509,0,9393,0,9393,9393,9393,16.91352782,0,0.997723615,0,0.018327491,0.061703419,8.68,0.36,3.28,2.09,2,5.52,37.06,3.55,2
5253133,0,0,3600,0,5253133,3600.24,0,3600,2304,5253133,3600.23,0,3600,2304,5253133,3600.22,0,3600,2304,5253133,3600.23,0,3600,2304,5253133,3600.22,0,3600,2304,5253133,3600.24,0,3600,2304,5253133,546.82,0,3600,0,5253133,3600.22,0,3600,2304,5253133,3600.24,0,3600,2304,5253133,3600,0,3600,256,5253133,999999,0,0,0,5253133,999999,0,0,0,5253133,999999,0,0,0,5253133,999999,0,0,0,5253133,999999,0,0,0,5253133,999999,0,0,0,5253133,999999,0,0,0,5253133,999999,0,0,0,5253133,270000,630000,180000,540000,0.5,0.166666667,0.333333333,0.486687654,0.826833371,0,1,1.243831165,1.48E-05,0.249488017,1.11E-05,2.22E-05,0.963694045,0,0.443535185,0.889798148,1.48E-05,0,1.48E-05,1.48E-05,0,0,0,0,0,0,8.18E-06,0.294177744,0,1.48E-05,1.665744322,0.589937037,1.67E-05,0,1.67E-05,1.67E-05,15002,0,15002,15002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375153594,0.18452125,0.014262648,0.628182534,0.461359349,0.284586716,0.423079136,0.330727435,0.378699453,0.087492957,0.122154715,0.05853107,0.1443371,0.10269143,0.075205589,0.094410576,0.079387458,0.085618231,1.11E-05,5.56E-05,0.000177778,0.000422222,0.001972222,17299,0,0,0,0,0,0,2.030251475,0,1.226503784,0,0.016259877,0.0337435,7.49,0.42,107.71,2.09,2,5.35,9.21,2.97,2.33
5250553,0,0,3600,0,5250553,3600.24,0,3600,2304,5250553,3600.24,0,3600,2304,5250553,3600.23,0,3600,2304,5250553,3600.22,0,3600,2304,5250553,3600.22,0,3600,2304,5250553,3600.24,0,3600,2304,5250553,546.54,0,3600,0,5250553,3600.22,0,3600,2304,5250553,3600.25,0,3600,2304,5250553,3600.23,0,3600,2304,5250553,999999,0,0,0,5250553,999999,0,0,0,5250553,999999,0,0,0,5250553,999999,0,0,0,5250553,999999,0,0,0,5250553,999999,0,0,0,5250553,999999,0,0,0,5250553,999999,0,0,0,5250553,270000,630000,180000,540000,0.5,0.166666667,0.333333333,0.486687654,0.826833371,0,1,1.243831165,1.48E-05,0.249488017,1.11E-05,2.22E-05,0.963694045,0,0.443535185,0.889798148,1.48E-05,0,1.48E-05,1.48E-05,0,0,0,0,0,0,8.18E-06,0.294177744,0,1.48E-05,1.665744322,0.589937037,1.67E-05,0,1.67E-05,1.67E-05,15002,0,15002,15002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375153594,0.18452125,0.014262648,0.628182534,0.461359349,0.284586716,0.423079136,0.330727435,0.378699453,0.087492957,0.122154715,0.05853107,0.1443371,0.10269143,0.075205589,0.094410576,0.079387458,0.085618231,1.11E-05,5.56E-05,0.000177778,0.000422222,0.001972222,18930,0,0,0,0,0,0,2.058944273,0,1.255028494,0,0.019993651,0.030406626,7.41,0.45,108.19,2.15,2,5.53,9.12,2.99,2.25
5252533,0,0,3600,0,5252533,3600.23,0,3600,2304,5252533,3600.23,0,3600,2304,5252533,3600.23,0,3600,2304,5252533,3600.23,0,3600,2304,5252533,3600.22,0,3600,2304,5252533,3600.24,0,3600,2304,5252533,541.61,0,3600,0,5252533,3600.22,0,3600,2304,5252533,3600.24,0,3600,2304,5252533,3600,0,3600,256,5252533,999999,0,0,0,5252533,999999,0,0,0,5252533,999999,0,0,0,5252533,999999,0,0,0,5252533,999999,0,0,0,5252533,999999,0,0,0,5252533,999999,0,0,0,5252533,999999,0,0,0,5252533,270000,630000,180000,540000,0.5,0.166666667,0.333333333,0.484925309,0.829309524,0,1,1.24564235,1.48E-05,0.250022916,1.11E-05,2.22E-05,0.965019385,0,0.444485185,0.888848148,1.48E-05,0,1.48E-05,1.48E-05,0,0,0,0,0,0,8.18E-06,0.292610269,0,1.48E-05,1.660563519,0.590501852,1.67E-05,0,1.67E-05,1.67E-05,15002,0,15002,15002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375202667,0.185921607,0.004693337,0.613255081,0.461767062,0.284017274,0.42374528,0.330280947,0.378746659,0.087495345,0.122369993,0.057424878,0.152335851,0.102726887,0.075167856,0.094444689,0.079389124,0.085642846,1.11E-05,1.11E-05,0.000155556,0.0005,0.002038889,19076,0,0,0,0,0,0,2.07630119,0,1.256125888,0,0.016195139,0.037066667,7.4,0.43,107.7,2.13,2,5.56,9.08,2.95,2.08
5248658,0,0,3600,2816,5248658,7200.45,0,7200,2304,5248658,351.97,2,3600,0,5248658,2801.84,2,3600,0,5248658,604.88,2,1200,5120,5248658,3600.22,0,3600,2304,5248658,2508.6,2,3600,5120,5248658,3600.3,0,3600,2304,5248658,3096.07,2,3600,5120,5248658,155.84,2,3600,5120,5248658,3600,0,3600,256,5248658,999999,0,0,0,5248658,999999,0,0,0,5248658,999999,0,0,0,5248658,999999,0,0,0,5248658,999999,0,0,0,5248658,999999,0,0,0,5248658,999999,0,0,0,5248658,999999,0,0,0,5248658,29249,861366,25512,813511,0.146480088,0.058825265,0.031360363,0.473155165,1.015511372,0,1,1.191471071,0.000110799,0.816951454,7.84E-05,0.00070555,0.557773941,0,0.880981327,0.881588571,0.000110799,0.878217137,1.11E-05,0.00486656,5.019766654,0.357543336,0.179863383,0,0.968992248,4.220129574,5.29E-05,0.851075904,2.46E-06,0.002433895,4.445703216,0.667173523,0.000104616,0.634906007,1.48E-05,0.002550672,7.4,0.066202425,7,8,0.673011667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714621169,0.203741936,0.001283178,0.996728282,0.888627039,0.525579349,0.81354377,0.637252318,0.731044222,0.00337006,3.911754095,0,0.365421338,0.006961862,1.00E-09,0.000867174,3.56E-07,3.15E-05,0.002783004,0.005095641,0.010857636,0.010857636,0.010857636,1889.5,0.180004425,10474.5,0.00398294,10474.5,10445,10445,13.6540679,0.36686785,0.998606358,0.001973658,0.011310301,0.039764066,6.15,0.28,3.31,2.24,2,5.62,10.93,3.23,2.01
5248679,0,0,3601,2816,5248679,7200.44,0,7200,2304,5248679,3601.26,0,3601,2304,5248679,3600.24,0,3600,2304,5248679,3600.23,0,3600,2304,5248679,3600.22,0,3600,2304,5248679,973.88,2,3600,5120,5248679,3600.25,0,3600,2304,5248679,3601.21,0,3601,2304,5248679,3601.23,0,3601,2304,5248679,3601.22,0,3601,2304,5248679,999999,0,0,0,5248679,999999,0,0,0,5248679,999999,0,0,0,5248679,999999,0,0,0,5248679,999999,0,0,0,5248679,999999,0,0,0,5248679,999999,0,0,0,5248679,999999,0,0,0,5248679,8157,675513,6099,642462,0.337432366,0.051444288,0.009493168,0.496948438,0.998737431,0,1,0.806153038,0.00035127,0.618914953,0.000327923,0.005738646,0.148053785,0,0.975495827,0.987966603,0.00035127,0.205519423,2.96E-05,0.00050431,2.465789887,0.839525025,0.206229754,0.04,0.98490566,1.855410003,0.000245209,0.40322708,1.56E-05,0.000412476,3.947098237,0.74355993,0.000372265,0.229430645,2.96E-05,0.000698874,4.875,0.067839777,4,5,0.376770161,840,0.953571429,39,1641,1641,39,1641,39,1641,26.49130455,0.62929297,9.820512821,43.16209628,43.16209628,9.820512821,43.16209628,9.820512821,43.16209628,0.958193528,0.078350626,0.626502539,0.999309265,0.997326227,0.869414402,0.995930004,0.972657939,0.976882511,0.004540223,4.407958124,0,0.263730146,0.004162899,1.26E-06,0.003879906,5.24E-05,0.001919158,0,0.034595835,0.034595835,0.034595835,0.034595835,12893,2.227916692,2348.4,0.559276627,2904,0,2957,55.29712594,0.376494503,1.146248474,0.28556151,0.332990505,0.591988944,5.07,0.18,0.78,2.02,2,3.73,8.31,2.69,2.36
5253130,0.01,0,3600,0,5253130,3600.23,0,3600,2304,5253130,3600.23,0,3600,2304,5253130,3600.22,0,3600,2304,5253130,3600.23,0,3600,2304,5253130,3600.22,0,3600,2304,5253130,3600.25,0,3600,2304,5253130,263.3,0,3600,0,5253130,3600.22,0,3600,2304,5253130,3600.23,0,3600,2304,5253130,3600,0,3600,256,5253130,999999,0,0,0,5253130,999999,0,0,0,5253130,999999,0,0,0,5253130,999999,0,0,0,5253130,999999,0,0,0,5253130,999999,0,0,0,5253130,999999,0,0,0,5253130,999999,0,0,0,5253130,180000,420000,120000,360000,0.5,0.166666667,0.333333333,0.486469444,0.826796479,0,1,1.245261201,2.22E-05,0.249984375,1.67E-05,3.33E-05,0.964924407,0,0.444416667,0.888916667,2.22E-05,0,2.22E-05,2.22E-05,0,0,0,0,0,0,1.23E-05,0.293409137,0,2.22E-05,1.664733806,0.5898,2.50E-05,0,2.50E-05,2.50E-05,10002,0,10002,10002,0,5.179487179,0.722229553,2,22,10,2,6,3,4,3.110109975,0.169230331,2.333333333,5.454545455,3.666666667,2.5,3.333333333,2.9,3,0.367444003,0.114092505,0.179059223,0.515958116,0.420226725,0.312198641,0.396863676,0.339482572,0.369204696,0.072758285,0.051146633,0.059497494,0.0886916,0.077570219,0.067947103,0.07527737,0.070191666,0.072733031,0,4.17E-05,0.000166667,0.000633333,0.005183333,7705,0,27781,0,27781,27781,27781,1.786323951,0,0.979191363,0,0.020238095,0.056543272,4.85,0.26,47.92,2.15,2,3.99,6.64,2.61,2.09
5252532,0,0,3600,0,5252532,3600.23,0,3600,2304,5252532,3600.23,0,3600,2304,5252532,3600.22,0,3600,2304,5252532,3600.22,0,3600,2304,5252532,3600.22,0,3600,2304,5252532,3600.24,0,3600,2304,5252532,263.21,0,3600,0,5252532,3600.22,0,3600,2304,5252532,3600.24,0,3600,2304,5252532,3600,0,3600,256,5252532,999999,0,0,0,5252532,999999,0,0,0,5252532,999999,0,0,0,5252532,999999,0,0,0,5252532,999999,0,0,0,5252532,999999,0,0,0,5252532,999999,0,0,0,5252532,999999,0,0,0,5252532,180000,420000,120000,360000,0.5,0.166666667,0.333333333,0.4868875,0.827105521,0,1,1.245561123,2.22E-05,0.250465192,1.67E-05,3.33E-05,0.966103533,0,0.445272222,0.888061111,2.22E-05,0,2.22E-05,2.22E-05,0,0,0,0,0,0,1.22E-05,0.293460488,0,2.22E-05,1.662978182,0.589430556,2.50E-05,0,2.50E-05,2.50E-05,10002,0,10002,10002,0,4.307692308,0.493581249,1,8,8,2,6,3,4,3.094871795,0.169040431,2.5,5.6,3.4,2.666666667,3,2.875,3,0.367667865,0.113950981,0.167848937,0.517005206,0.420106689,0.312477747,0.397002665,0.340158393,0.369483301,0.072761797,0.051039254,0.059502148,0.0895992,0.077568377,0.067985439,0.07526133,0.070196929,0.072716937,1.67E-05,3.33E-05,0.000225,0.000725,0.00325,7700,0,27780,0,27780,27780,27780,1.794257749,0,0.978779503,0,0.017417647,0.037457604,4.73,0.23,48.22,2.05,2,4.08,6.56,2.61,2.18
5248915,3600,0,3600,0,5248915,3600.23,0,3600,2304,5248915,3600.23,0,3600,2304,5248915,3600.22,0,3600,2304,5248915,3600.23,0,3600,2304,5248915,3600.22,0,3600,2304,5248915,3600.24,0,3600,2304,5248915,261.53,0,3600,0,5248915,3600.22,0,3600,2304,5248915,3600,0,3600,2304,5248915,3600,0,3600,256,5248915,999999,0,0,0,5248915,999999,0,0,0,5248915,999999,0,0,0,5248915,999999,0,0,0,5248915,999999,0,0,0,5248915,999999,0,0,0,5248915,999999,0,0,0,5248915,999999,0,0,0,5248915,180000,420000,120000,360000,0.5,0.166666667,0.333333333,0.484468519,0.829636969,0,1,1.246530883,2.22E-05,0.250292017,1.67E-05,3.33E-05,0.965680295,0,0.444963889,0.888369444,2.22E-05,0,2.22E-05,2.22E-05,0,0,0,0,0,0,1.23E-05,0.293898482,0,2.22E-05,1.664604214,0.590327778,2.50E-05,0,2.50E-05,2.50E-05,10002,0,10002,10002,0,4.2,0.538221645,1,11,7,2,5,3,4,3.076318543,0.145040113,2,4.571428571,4,2.75,3.2,2.888888889,3,0.367419538,0.114455627,0.166344273,0.516998287,0.42009685,0.312181314,0.396885475,0.339748738,0.36920999,0.072762096,0.051176796,0.059478675,0.088452725,0.077572568,0.067963574,0.075277453,0.07019107,0.072734573,3.33E-05,6.67E-05,0.000175,0.000675,0.002916667,7708,0,27609,0,27609,27609,27609,1.786662752,0,0.977411756,0,0.019025,0.032759109,4.71,0.22,47.9,2.03,2,4,6.55,2.57,2.14
5250552,0,0,3600,0,5250552,3600.22,0,3600,2304,5250552,3600.22,0,3600,2304,5250552,3600.22,0,3600,2304,5250552,3600.23,0,3600,2304,5250552,3600.22,0,3600,2304,5250552,3600.24,0,3600,2304,5250552,264.29,0,3600,0,5250552,3600.22,0,3600,2304,5250552,3600.24,0,3600,2304,5250552,3600,0,3600,256,5250552,999999,0,0,0,5250552,999999,0,0,0,5250552,999999,0,0,0,5250552,999999,0,0,0,5250552,999999,0,0,0,5250552,999999,0,0,0,5250552,999999,0,0,0,5250552,999999,0,0,0,5250552,180000,420000,120000,360000,0.5,0.166666667,0.333333333,0.486469444,0.826796479,0,1,1.245261201,2.22E-05,0.249984375,1.67E-05,3.33E-05,0.964924407,0,0.444416667,0.888916667,2.22E-05,0,2.22E-05,2.22E-05,0,0,0,0,0,0,1.23E-05,0.293409137,0,2.22E-05,1.664733806,0.5898,2.50E-05,0,2.50E-05,2.50E-05,10002,0,10002,10002,0,5.179487179,0.722229553,2,22,10,2,6,3,4,3.110109975,0.169230331,2.333333333,5.454545455,3.666666667,2.5,3.333333333,2.9,3,0.367444003,0.114092505,0.179059223,0.515958116,0.420226725,0.312198641,0.396863676,0.339482572,0.369204696,0.072758285,0.051146633,0.059497494,0.0886916,0.077570219,0.067947103,0.07527737,0.070191666,0.072733031,0,4.17E-05,0.000166667,0.000633333,0.005183333,7690,0,27362,0,27362,27362,27362,1.768003127,0,0.97507507,0,0.016968229,0.037675,4.68,0.24,47.98,2.17,2,3.98,6.59,2.61,2.04
