INSTANCE_ID, kcnfs04SAT07, kcnfs04SAT07_SOLVED, kcnfs04SAT07_CUTOFFTIME, kcnfs04SAT07EXITCODE, INSTANCE_ID, march_dl2004, march_dl2004_SOLVED, march_dl2004_CUTOFFTIME, march_dl2004EXITCODE, INSTANCE_ID, minisat20SAT07, minisat20SAT07_SOLVED, minisat20SAT07_CUTOFFTIME, minisat20SAT07EXITCODE, INSTANCE_ID, minisat2.0, minisat2.0_SOLVED, minisat2.0_CUTOFFTIME, minisat2.0EXITCODE, INSTANCE_ID, rsat20, rsat20_SOLVED, rsat20_CUTOFFTIME, rsat20EXITCODE, INSTANCE_ID, vallst, vallst_SOLVED, vallst_CUTOFFTIME, vallstEXITCODE, INSTANCE_ID, zchaff_rand, zchaff_rand_SOLVED, zchaff_rand_CUTOFFTIME, zchaff_randEXITCODE, INSTANCE_ID, tts, tts_SOLVED, tts_CUTOFFTIME, ttsEXITCODE, INSTANCE_ID, picosat846, picosat846_SOLVED, picosat846_CUTOFFTIME, picosat846EXITCODE, INSTANCE_ID, mxc08, mxc08_SOLVED, mxc08_CUTOFFTIME, mxc08EXITCODE, INSTANCE_ID, march_pl, march_pl_SOLVED, march_pl_CUTOFFTIME, march_plEXITCODE, INSTANCE_ID, ranov, ranov_SOLVED, ranov_CUTOFFTIME, ranovEXITCODE, INSTANCE_ID, adaptg2wsat0, adaptg2wsat0_SOLVED, adaptg2wsat0_CUTOFFTIME, adaptg2wsat0EXITCODE, INSTANCE_ID, adaptg2wsatplus, adaptg2wsatplus_SOLVED, adaptg2wsatplus_CUTOFFTIME, adaptg2wsatplusEXITCODE, INSTANCE_ID, gnoveltyplus, gnoveltyplus_SOLVED, gnoveltyplus_CUTOFFTIME, gnoveltyplusEXITCODE, INSTANCE_ID, SATenstein_hgen, SATenstein_hgen_SOLVED, SATenstein_hgen_CUTOFFTIME, SATenstein_hgenEXITCODE, INSTANCE_ID, SATenstein_r3sat, SATenstein_r3sat_SOLVED, SATenstein_r3sat_CUTOFFTIME, SATenstein_r3satEXITCODE, INSTANCE_ID, SATenstein_qcp, SATenstein_qcp_SOLVED, SATenstein_qcp_CUTOFFTIME, SATenstein_qcpEXITCODE, INSTANCE_ID, SATenstein_swgcp, SATenstein_swgcp_SOLVED, SATenstein_swgcp_CUTOFFTIME, SATenstein_swgcpEXITCODE, INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, vars_reduced_depth_1, vars_reduced_depth_4, vars_reduced_depth_16, vars_reduced_depth_64, vars_reduced_depth_256, BestSolution_Mean, BestSolution_CoeffVariance, FirstLocalMinStep_Mean, FirstLocalMinStep_CoeffVariance, FirstLocalMinStep_Median, FirstLocalMinStep_Q10, FirstLocalMinStep_Q90, BestAvgImprovement_Mean, BestAvgImprovement_CoeffVariance, FirstLocalMinRatio_Mean, FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, unit_featuretime, ls_featuretime, lobjois_featuretime
5321704,0,0,3600,0,5321704,3600.35,0,3600,2304,5321704,236.54,2,3600,0,5321704,223.17,2,3600,0,5321704,307.94,2,1200,5120,5321704,3600.25,0,3600,2304,5321704,0.02,0,3600,1536,5321704,2441.88,0,3600,2304,5321704,260.78,2,3600,5120,5321704,114.1,2,3600,5120,5321704,3600,0,3600,256,5321704,999999,0,0,0,5321704,999999,0,0,0,5321704,999999,0,0,0,5321704,999999,0,0,0,5321704,999999,0,0,0,5321704,999999,0,0,0,5321704,999999,0,0,0,5321704,999999,0,0,0,5321704,2270930,8901946,704970,3432388,2.221314382,1.593513903,0.205387619,0.400734631,1.079604274,0,1,1.244674201,4.89E-06,1.565768149,2.84E-06,0.00068088,1.204871109,0,0.53943814,0.792618142,4.89E-06,21.51283442,2.04E-06,0.011861713,1.207745543,0.324118699,0.156744042,0,0.999557783,1.707899544,3.77E-06,27.82913371,8.74E-07,0.011856468,1.641147818,0.897506343,1.34E-05,4.915953905,1.46E-06,0.008273249,10.5,0.047619048,10,11,0.693147181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881174559,0.183294345,0,0.999985193,0.98521007,0.783536832,0.981047328,0.817249877,0.949075209,0.102949298,0.95976035,0,0.5,0.231336265,0.009926961,0.150161773,0.012079896,0.07212521,0.000106388,0.000106388,0.000106388,0.000106388,0.000106388,428398,0,0,0,0,0,0,38.36905059,0,3.78225686,0,0.358491378,0.479362831,770.22,1.12,1635.72,2.06,2,24.1,767.5,6.78,2.72
5321664,0,0,3600,0,5321664,3600.22,0,3600,2304,5321664,418.35,2,3600,0,5321664,392.39,2,3600,0,5321664,0,0,11250,256,5321664,3600.21,0,3600,2304,5321664,0.01,0,3600,512,5321664,3600.23,0,3600,2304,5321664,275.79,2,3600,5120,5321664,242.34,2,3600,5120,5321664,3600,0,3600,256,5321664,999999,0,0,0,5321664,999999,0,0,0,5321664,999999,0,0,0,5321664,999999,0,0,0,5321664,999999,0,0,0,5321664,999999,0,0,0,5321664,999999,0,0,0,5321664,999999,0,0,0,5321664,46335,632886,4933,39769,8.392864383,14.91405366,0.124041339,0.343671748,0.789107664,0,1,2.250614051,0.001187947,0.700757092,0.000405433,0.003851612,2.106527177,0,0.231687998,0.434760743,0.001187947,6.371574342,0.000150871,0.179939149,3.17922129,0.153297524,0.175589701,0,0.998897464,3.083348128,0.000237847,1.070274414,2.51E-05,0.005003898,2.600839683,0.408282833,0.000356508,1.026485196,0.000125726,0.006864643,7.316037736,0.093323406,6,9,1.034419754,1207.714286,0.126452836,953,1407,1407,953,1335,1075,1235,15.99640066,0.170184471,11.65162644,19.95708502,19.95708502,11.65162644,18.97796731,14.42204301,14.74868717,0.367879294,0.743210149,1.00E-09,0.999612886,0.780665263,0.037675867,0.55362574,0.109198559,0.335527149,0.05299685,0.932482268,0,0.290979511,0.122070198,0.006214113,0.076509965,0.016495316,0.037295414,0,0.000810866,0.001824448,0.024934117,0.024934117,315.4418605,0.178397748,1163.209302,0.157222727,1189,1159,1218,0.755666137,0.429288291,0.906509819,0.051036732,0.084007437,0.354148709,66.73,0.02,0.13,2.01,2,2.32,68.76,2.19,2
5321663,0,0,3600,0,5321663,3600.22,0,3600,2304,5321663,104.55,2,3600,0,5321663,397.02,2,3600,0,5321663,0,0,11250,256,5321663,3600.21,0,3600,2304,5321663,0.01,0,3600,512,5321663,3600.23,0,3600,2304,5321663,489.45,2,3600,5120,5321663,104.33,2,3600,5120,5321663,3600,0,3600,256,5321663,999999,0,0,0,5321663,999999,0,0,0,5321663,999999,0,0,0,5321663,999999,0,0,0,5321663,999999,0,0,0,5321663,999999,0,0,0,5321663,999999,0,0,0,5321663,999999,0,0,0,5321663,38290,475249,4660,42029,7.216738197,10.30764472,0.110875824,0.288401364,0.842406962,0,1,2.120801096,0.001389981,0.659672442,0.000429185,0.006866953,1.922240498,0,0.175830974,0.379642628,0.001389981,5.853357352,0.000142759,0.090009279,3.03803847,0.119528137,0.161543898,0,0.998362892,2.690123776,0.000242741,1.258763406,4.76E-05,0.006709653,2.508133338,0.372695044,0.000324832,1.224054705,0.000118965,0.007447239,8.214689266,0.136896653,6,10,1.379191367,1002.5,0.20008373,644,1235,1235,644,1168,846,1068,27.37854785,0.273203489,16.54137116,37.36801242,37.36801242,16.54137116,36.30645161,22.38857678,27.9640411,0.325117048,0.803799444,0,0.993503027,0.707150562,0.030468457,0.509696506,0.08601327,0.301264987,0.044690834,0.983576945,0,0.276839857,0.1026029,0.005763306,0.054911938,0.019398048,0.027228928,0,0,0.002575107,0.002575107,0.002575107,318.9230769,0.226036439,991.8076923,0.205144613,1029.5,994,1054,0.683549657,0.602672878,0.890275029,0.08220367,0.093934163,0.512879186,34.53,0.02,0.12,2.01,2,2.29,36.53,2.14,2
5321713,0,0,3600,0,5321713,533.1,0,3600,2816,5321713,2279.26,2,3600,0,5321713,3600.24,0,3600,2304,5321713,11250.7,0,11250,2304,5321713,3600.22,0,3600,2304,5321713,3600.25,0,3600,2304,5321713,2586.07,0,3600,0,5321713,3096.8,2,11250,5120,5321713,2436.22,2,3600,5120,5321713,3600,0,3600,256,5321713,999999,0,0,0,5321713,999999,0,0,0,5321713,999999,0,0,0,5321713,999999,0,0,0,5321713,999999,0,0,0,5321713,999999,0,0,0,5321713,999999,0,0,0,5321713,999999,0,0,0,5321713,455627,1367522,120512,791939,2.780760422,0.726802191,0.152173337,0.375365161,0.554023548,0,1,1.477313303,2.87E-05,0.30837887,1.66E-05,0.000157661,1.421464507,0,0.164295482,0.586002205,2.87E-05,10.24532152,8.84E-06,0.016242413,2.982552507,0.164176326,0.122016656,0,0.998872286,3.019665969,1.28E-05,13.65035994,2.53E-06,0.012114569,1.800384516,0.488194166,3.00E-05,8.912850202,8.84E-06,0.012882305,10.88888889,0.052030811,10,12,0.848685558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393730648,0.593156838,0,0.999593247,0.676122701,0.059950332,0.596508709,0.165569063,0.447719646,0.089937022,0.558703206,0,0.286477815,0.154642342,0.019040258,0.129369107,0.05071357,0.088759017,0,0,0.107059878,0.108843933,0.13990308,58776,0,0,0,0,0,0,9.255182482,0,2.854190984,0,0.165118642,0.236049772,22.37,0.25,48.81,2.15,2,5.35,47.9,3.18,2.04
5321728,0,0,3600,0,5321728,1503.77,0,3600,2816,5321728,1092.42,2,3600,0,5321728,1674.05,2,3600,0,5321728,670.34,2,1200,5120,5321728,3600.22,0,3600,2304,5321728,3600.25,0,3600,2304,5321728,1490.55,0,3600,0,5321728,1081.22,2,3600,5120,5321728,383.67,2,3600,5120,5321728,3600,0,3600,256,5321728,999999,0,0,0,5321728,999999,0,0,0,5321728,999999,0,0,0,5321728,999999,0,0,0,5321728,999999,0,0,0,5321728,999999,0,0,0,5321728,999999,0,0,0,5321728,999999,0,0,0,5321728,175670,837466,12778,510801,12.74784786,0.639515193,0.025015613,0.24189431,1.489578536,0,1,1.611298941,0.000500613,2.717422075,0.000156519,0.04625137,1.724851041,0,0.656682348,0.741067461,0.000500613,1.941934592,1.17E-05,0.006061069,5.703503146,0.404867975,0.30965154,0,0.990917348,4.253031435,0.00031498,2.636565578,7.83E-06,0.005677358,4.374271755,0.788461651,0.000411638,1.693726384,1.17E-05,0.004169921,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684591055,0.47302137,0,1,0.97776886,0.133222377,0.949241142,0.429546515,0.841875977,0.150865297,1.119794812,0,0.5,0.450007968,0.000229584,0.293382716,0.012544786,0.066691967,0,0,0,0.000547817,0.052746909,878.3333333,0.169682763,4180.666667,0.011709223,4163,4143,4163,11.47177067,0.481694519,0.994810111,0.001486617,0.305268604,0.645392869,20.1,0.19,2.53,2.03,2,17.59,113.3,3.21,2.11
5321727,0,0,3600,0,5321727,901.67,0,3600,2304,5321727,857.22,2,3600,0,5321727,1219.64,2,3600,0,5321727,877.77,2,1200,5120,5321727,3600.23,0,3600,2304,5321727,3600.24,0,3600,2304,5321727,905.16,0,3600,0,5321727,996.37,2,3600,5120,5321727,200.64,2,3600,5120,5321727,3600,0,3600,256,5321727,999999,0,0,0,5321727,999999,0,0,0,5321727,999999,0,0,0,5321727,999999,0,0,0,5321727,999999,0,0,0,5321727,999999,0,0,0,5321727,999999,0,0,0,5321727,999999,0,0,0,5321727,163755,800163,12262,496758,12.35467297,0.610770234,0.024684051,0.232508494,1.532587837,0,1,1.56624024,0.000509888,2.801936373,0.000163106,0.048197684,1.67387697,0,0.67030224,0.750862593,0.000509888,1.92198225,1.21E-05,0.005866035,5.709995717,0.4036216,0.309592132,0,0.990917348,4.253203536,0.000324225,2.606818305,8.05E-06,0.005509725,4.394133254,0.796939355,0.000428582,1.699168176,1.21E-05,0.004287802,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687421852,0.472123823,0,1,0.978931842,0.132034057,0.950286647,0.431982149,0.850107559,0.150825412,1.127569203,0,0.5,0.45072196,0.000179503,0.296205434,0.011163054,0.065173581,0,0,0,0.000407764,0.075354755,856.8,0.266025038,3217.6,0.559112494,4007,0,4042,11.58643778,0.456640993,0.998402511,0.009343289,0.4,0.711229254,19.63,0.18,2.57,2.03,2,17.64,124,3.12,2.09
5321726,0,0,3600,0,5321726,845.92,0,3600,2304,5321726,560.71,2,3600,0,5321726,1132.53,2,3600,0,5321726,249.33,2,1200,5120,5321726,3600.21,0,3600,2304,5321726,3600.25,0,3600,2304,5321726,3600.3,0,3600,2304,5321726,390.43,2,3600,5120,5321726,170.59,2,3600,5120,5321726,259.59,0,3600,2816,5321726,999999,0,0,0,5321726,999999,0,0,0,5321726,999999,0,0,0,5321726,999999,0,0,0,5321726,999999,0,0,0,5321726,999999,0,0,0,5321726,999999,0,0,0,5321726,999999,0,0,0,5321726,151768,761906,11671,481437,12.00385571,0.582566359,0.024242009,0.222730983,1.580988253,0,1,1.516765369,0.000524329,2.891042482,0.000171365,0.050638334,1.619207862,0,0.684835191,0.76136857,0.000524329,1.896739925,1.25E-05,0.005641444,5.71896989,0.403343457,0.311240503,0,0.990917348,4.255886417,0.00033705,2.569500073,8.31E-06,0.005304952,4.408784826,0.806151168,0.00045043,1.699575965,1.25E-05,0.004424255,15.31578947,0.030349694,15,16,0.62365485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690692147,0.470264555,0,1,0.980338907,0.132817964,0.951643629,0.438248914,0.85658838,0.151097477,1.133274754,0,0.5,0.453847706,0.000127357,0.302813089,0.010478229,0.063748512,0,0,0,0.000428412,0.049524462,876,0.391532542,2589.333333,0.866039957,3871,0,3871,13.31244406,0.688447612,1.00115298,0.011168142,0.335371232,0.753569749,18,0.18,2.46,2.09,2,17.28,121.04,3.07,2.07
5321721,0,0,3600,0,5321721,795.14,0,3600,2816,5321721,132.33,2,3600,0,5321721,266.45,2,3600,0,5321721,189.44,2,1200,5120,5321721,3600.22,0,3600,2304,5321721,333.7,2,3600,5120,5321721,1270.66,0,3600,0,5321721,502.24,2,3600,5120,5321721,73.15,2,3600,5120,5321721,3600,0,3600,256,5321721,999999,0,0,0,5321721,999999,0,0,0,5321721,999999,0,0,0,5321721,999999,0,0,0,5321721,999999,0,0,0,5321721,999999,0,0,0,5321721,999999,0,0,0,5321721,999999,0,0,0,5321721,136756,905980,11109,651449,11.31037897,0.39071516,0.017052755,0.158061454,1.976760755,0,1,1.171839211,0.00045136,3.231675737,0.000180034,0.037537132,1.236749669,0,0.77990756,0.815532759,0.00045136,2.268178431,1.07E-05,0.006233796,5.708272617,0.392096353,0.337440578,0,0.985037406,4.217604924,0.000315817,2.95251841,4.61E-06,0.006055731,4.52458861,0.859068016,0.000339191,1.96147268,9.21E-06,0.004227499,11.26666667,0.068496076,10,12,1.043757036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681370382,0.480652179,0,0.999972572,0.989735172,0.146621278,0.963952817,0.39988146,0.838193239,0.156733219,1.058341035,0,0.5,0.422049232,0,0.286580303,0.000649549,0.089631057,0,0,0,0.002610496,0.002610496,11623.6,2.105159401,3119,0.559056132,3894,0,3906,147.3031964,2.045488182,1.149750367,0.297436654,0.523201908,0.761312003,18.04,0.22,2.82,2.11,2,19.2,29.04,3.17,2.11
5321712,0,0,3600,0,5321712,810.96,0,3600,2816,5321712,260.93,2,3600,0,5321712,501.98,2,3600,0,5321712,297.56,2,1200,5120,5321712,3600.22,0,3600,2304,5321712,1134.43,2,3600,5120,5321712,915.24,0,3600,0,5321712,701.78,2,3600,5120,5321712,202.43,2,3600,5120,5321712,3600,0,3600,256,5321712,999999,0,0,0,5321712,999999,0,0,0,5321712,999999,0,0,0,5321712,999999,0,0,0,5321712,999999,0,0,0,5321712,999999,0,0,0,5321712,999999,0,0,0,5321712,999999,0,0,0,5321712,148153,937242,11635,661069,11.73339063,0.417767283,0.017600281,0.166012328,1.912895299,0,1,1.220206491,0.000436396,3.145277378,0.000171895,0.035840138,1.284814713,0,0.768118003,0.805820572,0.000436396,2.276134528,1.06E-05,0.006188461,5.715603947,0.39108961,0.336765229,0,0.985037406,4.20367692,0.000303452,2.970725367,4.54E-06,0.006043242,4.505474845,0.852118311,0.000325222,1.954650361,1.21E-05,0.004126649,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675984543,0.483847716,0,1,0.989238765,0.156380077,0.961269077,0.390498767,0.834727345,0.160300348,1.054527452,0,0.5,0.430933575,0,0.31023651,0.000737581,0.088814253,0,0,0,0.014611087,0.014611087,702.5,0.041268866,4137,0.016066724,4137,4090,4090,15.72311912,0.384167279,0.996902757,0,0.413218737,0.74311071,17.69,0.22,2.8,2.01,2,18.91,30.61,3.26,2.05
5321725,0,0,3600,0,5321725,1306.81,0,3600,2816,5321725,521.49,2,3600,0,5321725,707.5,2,3600,0,5321725,220.51,2,1200,5120,5321725,3600.22,0,3600,2304,5321725,1021.31,2,3600,5120,5321725,1182.72,0,3600,2304,5321725,277.84,2,3600,5120,5321725,128.52,2,3600,5120,5321725,3600,0,3600,256,5321725,999999,0,0,0,5321725,999999,0,0,0,5321725,999999,0,0,0,5321725,999999,0,0,0,5321725,999999,0,0,0,5321725,999999,0,0,0,5321725,999999,0,0,0,5321725,999999,0,0,0,5321725,139818,724504,11148,467182,11.54198062,0.55079605,0.023862221,0.212222142,1.63614671,0,1,1.46261559,0.000535897,2.988912635,0.000179404,0.053013994,1.559698358,0,0.700470052,0.772433441,0.000535897,1.87713289,1.28E-05,0.005528895,5.720450684,0.401701912,0.311329529,0,0.990917348,4.255742414,0.000348602,2.537452389,8.56E-06,0.005224944,4.420163949,0.816009607,0.000471951,1.700558203,1.28E-05,0.004559251,14.04166667,0.014230954,14,15,0.173205207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694540168,0.468222481,0,1,0.980922547,0.132374771,0.953146359,0.44702416,0.865482264,0.151304237,1.138943819,0,0.5,0.454082487,9.94E-05,0.306121615,0.009078395,0.062011165,0,0,0,0.000448511,0.063957661,821,0.285392802,3743,0.013643757,3755,3687,3755,13.00638635,0.703556799,0.996450453,0.003128531,0.389586048,0.887939727,15.13,0.16,2.19,2.03,2,16.31,97.96,3.06,2.05
