INSTANCE_ID, kcnfs04SAT07, kcnfs04SAT07_SOLVED, kcnfs04SAT07_CUTOFFTIME, kcnfs04SAT07EXITCODE, INSTANCE_ID, march_dl2004, march_dl2004_SOLVED, march_dl2004_CUTOFFTIME, march_dl2004EXITCODE, INSTANCE_ID, minisat20SAT07, minisat20SAT07_SOLVED, minisat20SAT07_CUTOFFTIME, minisat20SAT07EXITCODE, INSTANCE_ID, minisat2.0, minisat2.0_SOLVED, minisat2.0_CUTOFFTIME, minisat2.0EXITCODE, INSTANCE_ID, rsat20, rsat20_SOLVED, rsat20_CUTOFFTIME, rsat20EXITCODE, INSTANCE_ID, vallst, vallst_SOLVED, vallst_CUTOFFTIME, vallstEXITCODE, INSTANCE_ID, zchaff_rand, zchaff_rand_SOLVED, zchaff_rand_CUTOFFTIME, zchaff_randEXITCODE, INSTANCE_ID, tts, tts_SOLVED, tts_CUTOFFTIME, ttsEXITCODE, INSTANCE_ID, picosat846, picosat846_SOLVED, picosat846_CUTOFFTIME, picosat846EXITCODE, INSTANCE_ID, mxc08, mxc08_SOLVED, mxc08_CUTOFFTIME, mxc08EXITCODE, INSTANCE_ID, march_pl, march_pl_SOLVED, march_pl_CUTOFFTIME, march_plEXITCODE, INSTANCE_ID, ranov, ranov_SOLVED, ranov_CUTOFFTIME, ranovEXITCODE, INSTANCE_ID, adaptg2wsat0, adaptg2wsat0_SOLVED, adaptg2wsat0_CUTOFFTIME, adaptg2wsat0EXITCODE, INSTANCE_ID, adaptg2wsatplus, adaptg2wsatplus_SOLVED, adaptg2wsatplus_CUTOFFTIME, adaptg2wsatplusEXITCODE, INSTANCE_ID, gnoveltyplus, gnoveltyplus_SOLVED, gnoveltyplus_CUTOFFTIME, gnoveltyplusEXITCODE, INSTANCE_ID, SATenstein_hgen, SATenstein_hgen_SOLVED, SATenstein_hgen_CUTOFFTIME, SATenstein_hgenEXITCODE, INSTANCE_ID, SATenstein_r3sat, SATenstein_r3sat_SOLVED, SATenstein_r3sat_CUTOFFTIME, SATenstein_r3satEXITCODE, INSTANCE_ID, SATenstein_qcp, SATenstein_qcp_SOLVED, SATenstein_qcp_CUTOFFTIME, SATenstein_qcpEXITCODE, INSTANCE_ID, SATenstein_swgcp, SATenstein_swgcp_SOLVED, SATenstein_swgcp_CUTOFFTIME, SATenstein_swgcpEXITCODE, INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, vars_reduced_depth_1, vars_reduced_depth_4, vars_reduced_depth_16, vars_reduced_depth_64, vars_reduced_depth_256, BestSolution_Mean, BestSolution_CoeffVariance, FirstLocalMinStep_Mean, FirstLocalMinStep_CoeffVariance, FirstLocalMinStep_Median, FirstLocalMinStep_Q10, FirstLocalMinStep_Q90, BestAvgImprovement_Mean, BestAvgImprovement_CoeffVariance, FirstLocalMinRatio_Mean, FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, unit_featuretime, ls_featuretime, lobjois_featuretime
5252675,0,0,3600,0,5252675,3600.33,0,3600,2304,5252675,9.43,0,11250,768,5252675,1854.63,0,3600,2816,5252675,281.35,1,11250,2560,5252675,3600.25,0,3600,2304,5252675,0.01,0,3600,1536,5252675,1466.28,0,3600,0,5252675,1490.93,1,11250,2560,5252675,292.46,1,11250,2560,5252675,3600.3,0,3600,2304,5252675,0.03,0,3600,65280,5252675,0,0,3600,0,5252675,0,0,3600,0,5252675,0,0,3600,65280,5252675,21.37,0,3600,2816,5252675,20.9,0,3600,2816,5252675,21.38,0,3600,2816,5252675,21.08,0,3600,2816,5252675,889302,14582074,879854,14559286,0.010738145,0.001565187,0.060432496,0.595212466,0.780241627,0,1,1.215127282,3.52E-06,7.639798389,2.27E-06,0.006048731,0.663513463,0,0.876207048,0.939899319,3.52E-06,21.90847568,3.43E-07,0.015640053,3.599118874,0.374659608,0.211380522,0,1,3.712564163,2.21E-06,17.59895546,0,0.007844135,3.507443427,0.940827455,0.000135567,0.738516764,3.43E-07,0.008663886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977235363,0.094815623,4.74E-05,1,0.999662479,0.977545188,0.998732541,0.990410706,0.996071829,0.017564938,2.880986845,0,0.5,0.03179582,0.000369462,0.014334242,0.001573125,0.005565618,0,0,0,0,0,2427324,0,0,0,0,0,0,19709.44,0,3.463108034,0,0.662982722,0.662982722,850.64,6.63,2642.65,6.1,2,768.49,1914.67,22.77,4.02
5328703,0.01,0,3600,0,5328703,3600.34,0,3600,2304,5328703,1915.28,0,11250,2816,5328703,1848.53,0,3600,2816,5328703,283.1,1,11250,2560,5328703,3600.26,0,3600,2304,5328703,0.01,0,3600,1536,5328703,1487.94,0,3600,0,5328703,1317.42,1,3600,2560,5328703,301.1,1,3600,2560,5328703,3600.32,0,3600,2304,5328703,0.02,0,3600,65280,5328703,0,0,3600,0,5328703,0,0,3600,0,5328703,0,0,3600,65280,5328703,21.8,0,3600,2816,5328703,21.12,0,3600,2816,5328703,21.14,0,3600,2816,5328703,21.02,0,3600,2816,5328703,889302,14582074,879854,14559286,0.010738145,0.001565187,0.060432496,0.595212466,0.780241627,0,1,1.215127282,3.52E-06,7.639798389,2.27E-06,0.006048731,0.663513463,0,0.876207048,0.939899319,3.52E-06,21.90847568,3.43E-07,0.015640053,3.599118874,0.374659608,0.211380522,0,1,3.712564163,2.21E-06,17.59895546,0,0.007844135,3.507443427,0.940827455,0.000135567,0.738516764,3.43E-07,0.008663886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977235363,0.094815623,4.74E-05,1,0.999662479,0.977545188,0.998732541,0.990410706,0.996071829,0.017564938,2.880986845,0,0.5,0.03179582,0.000369462,0.014334242,0.001573125,0.005565618,0,0,0,0,0,2403754,0,0,0,0,0,0,18612.28846,0,3.483630025,0,0.229257354,0.454697029,840.67,4.48,2622.66,4.25,2,746.89,1901.56,22.53,2.84
5253383,0,0,3600,2816,5253383,3600.23,0,3600,2304,5253383,456.84,1,3600,0,5253383,6.48,1,3600,0,5253383,6.25,1,1200,2560,5253383,2370.7,1,3600,256,5253383,1029.01,1,3600,2560,5253383,2583.23,0,3600,2304,5253383,11.81,1,3600,2560,5253383,369.85,1,3600,2560,5253383,3600,0,3600,256,5253383,3600.24,0,3600,2304,5253383,3600.23,0,3600,2304,5253383,3600.23,0,3600,2304,5253383,3600.22,0,3600,2304,5253383,4.98,0,3600,2816,5253383,4.97,0,3600,2816,5253383,4.99,0,3600,2816,5253383,5.05,0,3600,2816,5253383,5184,1011975,4574,339083,0.133362484,1.984446286,0.013489323,0.24729496,0.77081992,0,1,2.525980833,0.002323015,0.148978468,0.000437254,0.002623524,1.539804706,0,0.000760876,0.004777591,0.002323015,2.133675664,2.95E-06,0.037663345,4.821134977,0.486393284,0.420614161,0,1,2.929398388,2.54E-05,1.730377102,0,0.000669453,3.031962657,0.016114049,0.000436427,2.014474755,5.90E-06,0.008396174,3,0.174077656,2,4,0.774992758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536205839,0.735740656,0,1,1,0.055319149,1,0.125332826,0.43262497,0.677468335,0.373277975,0.056978787,1,1,0.468832561,1,0.499166344,0.5,0,0,0.003060778,0.007651946,0.02645387,22,0.104972776,307.8571429,0.084380359,308,268,334,0.327987846,0.214714911,0.974678848,0.006419195,0.174333188,0.311035871,392.94,0.16,1.63,2.05,2,7.14,398.06,3.36,2.28
5249358,0,0,3600,0,5249358,3600.32,0,3600,2304,5249358,7671.09,1,11250,0,5249358,3600.26,0,3600,2304,5249358,11250.8,0,11250,2304,5249358,3600.25,0,3600,2304,5249358,0.01,0,3600,1536,5249358,3600.36,0,3600,2304,5249358,11250.7,0,11250,2304,5249358,10370.4,1,11250,2560,5249358,3600.28,0,3600,2304,5249358,0.02,0,3600,65280,5249358,0,0,3600,0,5249358,0,0,3600,0,5249358,0,0,3600,65280,5249358,3600.27,0,3600,2304,5249358,3600.27,0,3600,2304,5249358,3600.27,0,3600,2304,5249358,3600.27,0,3600,2304,5249358,1461772,5687554,398323,2027700,2.669815702,1.804928737,0.196440795,0.462037441,0.8608607,0,1,1.714907558,9.03E-06,1.167044049,5.02E-06,0.000150632,1.33421026,0,0.454223504,0.763206096,9.03E-06,17.71174294,1.97E-06,0.014974109,1.758187537,0.351759059,0.183000603,0,1,2.182242573,3.37E-06,11.40017213,4.93E-07,0.00508014,2.081301102,0.535214282,1.47E-05,6.337678761,1.97E-06,0.010328944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581627119,0.399603317,0,1,0.872237682,0.25,0.759857149,0.403585708,0.620780715,0.313500597,0.489701051,0,0.5,0.5,0.103182975,0.466666667,0.18580385,0.32723106,0,0.036739028,0.39040427,0.639247545,0.686902338,189785,0,0,0,0,0,0,12.22384407,0,2.357032026,0,0.711369918,0.711369918,389.39,2.02,528.08,2.82,2,20.32,535.85,6.51,2.54
5253371,0,0,3600,2816,5253371,3600.23,0,3600,2304,5253371,467.31,1,3600,0,5253371,5.27,1,3600,0,5253371,5.39,1,1200,2560,5253371,1199.64,1,3600,256,5253371,2599.34,1,3600,2560,5253371,3600.33,0,3600,2304,5253371,10.81,1,3600,2560,5253371,368.74,1,3600,2560,5253371,3600,0,3600,2304,5253371,3600.23,0,3600,2304,5253371,3600.23,0,3600,2304,5253371,3600.23,0,3600,2304,5253371,3600.23,0,3600,2304,5253371,5.24,0,3600,2816,5253371,4.78,0,3600,2816,5253371,4.86,0,3600,2816,5253371,4.79,0,3600,2816,5253371,5184,1011975,4287,265354,0.209237229,2.813679085,0.016155777,0.248906982,0.780498618,0,1,2.477515149,0.002491732,0.152983026,0.000466527,0.003965477,1.491414845,0,0.001156945,0.007465499,0.002491732,2.283393025,3.77E-06,0.043153674,4.480562772,0.540009609,0.422241727,0,1,2.832884433,3.01E-05,1.732527511,0,0.000542671,2.943690085,0.018846522,0.000465113,2.013672292,7.54E-06,0.005193063,3.666666667,0.208749272,2,5,1.142879096,216.8333333,0.517755595,104,401,401,104,309,114,250,17.71386774,0.188096077,12.61165049,21.31707317,21.31707317,12.61165049,20.22115385,13.65087282,19.5,0.56964181,0.691954652,0,1,1,0.067842085,1,0.201041903,0.460812815,0.683227552,0.387526824,0.081816408,1,1,0.436465334,1,0.498079038,0.5,0,0.000233263,0.002565897,0.010030324,0.035689293,20.77777778,0.432227871,285.6666667,0.255097931,301.5,261,315,0.670194745,0.811793406,0.985925942,0.022492775,0.376982739,0.511080009,372.17,0.12,1.27,2.03,2,5.69,374.46,3.08,2
5328679,0,0,3600,0,5328679,3600.32,0,3600,2304,5328679,3484.14,1,3600,0,5328679,3351.8,1,3600,0,5328679,4372.06,1,11250,2560,5328679,3600.24,0,3600,2304,5328679,0.02,0,3600,1536,5328679,3600.36,0,3600,2304,5328679,3994.4,1,11250,2560,5328679,8062.48,1,11250,2560,5328679,3600.37,0,3600,2304,5328679,0,0,3600,65280,5328679,0,0,3600,0,5328679,0,0,3600,0,5328679,0,0,3600,65280,5328679,3600.27,0,3600,2304,5328679,3600.26,0,3600,2304,5328679,3600.28,0,3600,2304,5328679,3600.28,0,3600,2304,5328679,1461772,5687554,447289,2172391,2.268070532,1.618107882,0.205897097,0.39700278,1.081922704,0,1,1.279898007,7.69E-06,1.298511333,4.47E-06,0.000172148,1.235895761,0,0.536124482,0.783747953,7.69E-06,18.30639963,3.22E-06,0.014035687,1.334849604,0.322105233,0.15743861,0,0.999409468,1.797191648,5.93E-06,23.69388759,1.38E-06,0.014027861,1.733814575,0.894631307,1.64E-05,5.270247673,2.30E-06,0.009699451,9.2,0.043478261,9,10,0.500402424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870926433,0.19587922,0,0.99979003,0.978619947,0.778994253,0.975100041,0.825090487,0.911648102,0.113769988,0.884279839,0,0.5,0.296747039,0.011863019,0.147317153,0.014254938,0.108441905,0.000143084,0.000143084,0.000143084,0.000143084,0.000143084,211118,0,0,0,0,0,0,12.68266624,0,2.327235236,0,0.383015791,0.657355759,351.62,0.67,659.69,2.33,2,13.6,350.76,5.38,2.23
5249353,0,0,3600,0,5249353,3600.34,0,3600,2304,5249353,3440.95,1,3600,0,5249353,3082,1,3600,0,5249353,4633.02,1,11250,2560,5249353,3600.25,0,3600,2304,5249353,0.02,0,3600,1536,5249353,3600.33,0,3600,2304,5249353,4354.85,1,11250,2560,5249353,7467.02,1,11250,2560,5249353,3600.37,0,3600,2304,5249353,0.02,0,3600,65280,5249353,0,0,3600,0,5249353,0,0,3600,0,5249353,0,0,3600,65280,5249353,3600.27,0,3600,2304,5249353,3600.26,0,3600,2304,5249353,3600.26,0,3600,2304,5249353,3600.27,0,3600,2304,5249353,1461772,5687554,447289,2172391,2.268070532,1.618107882,0.205897097,0.39700278,1.081922704,0,1,1.279898007,7.69E-06,1.298511333,4.47E-06,0.000172148,1.235895761,0,0.536124482,0.783747953,7.69E-06,18.30639963,3.22E-06,0.014035687,1.334849604,0.322105233,0.15743861,0,0.999409468,1.797191648,5.93E-06,23.69388759,1.38E-06,0.014027861,1.733814575,0.894631307,1.64E-05,5.270247673,2.30E-06,0.009699451,9.2,0.043478261,9,10,0.500402424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870926433,0.19587922,0,0.99979003,0.978619947,0.778994253,0.975100041,0.825090487,0.911648102,0.113769988,0.884279839,0,0.5,0.296747039,0.011863019,0.147317153,0.014254938,0.108441905,0.000143084,0.000143084,0.000143084,0.000143084,0.000143084,214274,0,0,0,0,0,0,12.89269211,0,2.422197738,0,0.506377309,0.593965904,333.33,0.69,660.09,2.36,2,13.95,332.48,5.4,2.48
5328705,0,0,3600,0,5328705,3600.31,0,3600,2304,5328705,23.1,1,3600,0,5328705,24.26,1,3600,0,5328705,90.87,1,11250,2560,5328705,3600.26,0,3600,2304,5328705,1444.23,1,3600,2560,5328705,1792.97,0,3600,0,5328705,387.8,1,3600,2560,5328705,56.58,1,3600,2560,5328705,2118.09,0,3600,2304,5328705,0.03,0,3600,65280,5328705,0,0,3600,0,5328705,0,0,3600,0,5328705,0,0,3600,65280,5328705,20.64,0,3600,2816,5328705,20.12,0,3600,2816,5328705,19.98,0,3600,2816,5328705,19.83,0,3600,2816,5328705,521179,13378617,483451,13292711,0.078038933,0.00646264,0.036369631,0.583326271,0.695361575,0,1,1.284298443,6.27E-06,3.795396343,4.14E-06,0.013835942,0.933259554,0,0.635541313,0.958828714,6.27E-06,13.3816404,4.51E-07,0.016461729,4.355573644,0.483266769,0.26977635,0,1,4.123783024,4.63E-06,9.196194507,0,0.008307335,4.231831019,0.956834087,0.000116492,1.304402655,3.76E-07,0.008915187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913026678,0.215700807,0,1,0.999998439,0.500000149,0.999960949,0.974809064,0.998709457,0.057110852,2.245966918,0,0.5,0.241087788,7.19E-07,0.023269966,3.01E-05,0.001222857,0,0,0,0,0,1977914,0,0,0,0,0,0,7701.851485,0,3.542675221,0,0.350424345,0.68341983,212.63,4,802.31,3.84,2,211.76,1568.44,21.22,3.19
5252789,0,0,3600,0,5252789,3600.31,0,3600,2304,5252789,40.41,1,3600,0,5252789,47.57,1,3600,0,5252789,49.2,1,11250,2560,5252789,3600.26,0,3600,2304,5252789,1224.78,1,3600,2560,5252789,1794.03,0,3600,0,5252789,448.12,1,3600,2560,5252789,143.3,1,3600,2560,5252789,3043.55,0,3600,2816,5252789,0.02,0,3600,65280,5252789,0,0,3600,0,5252789,0,0,3600,0,5252789,0,0,3600,65280,5252789,21.12,0,3600,2816,5252789,19.71,0,3600,2816,5252789,19.81,0,3600,2816,5252789,19.75,0,3600,2816,5252789,521158,13378532,483458,13292615,0.077979887,0.006463514,0.036370421,0.583338179,0.695343004,0,1,1.284291962,6.27E-06,3.795388257,4.14E-06,0.013835742,0.933268249,0,0.635537552,0.958829546,6.27E-06,13.38144292,4.51E-07,0.016461697,4.355636882,0.48324865,0.269801456,0,1,4.123792916,4.63E-06,9.196268736,0,0.00830732,4.231896405,0.956832873,0.000116491,1.304414256,3.76E-07,0.008915025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912919911,0.21578484,0,1,0.999998337,0.500000127,0.999961146,0.974127895,0.998737705,0.057286015,2.240259515,0,0.5,0.241187003,7.24E-07,0.023892007,3.07E-05,0.001185652,0,0,0,0,0,2007352,0,0,0,0,0,0,8413.5625,0,4.727894694,0,0.46111141,0.46111141,209.15,4.1,800.78,3.72,2,207.44,1700.86,21.08,2.77
5252687,0,0,3600,0,5252687,3600.33,0,3600,2304,5252687,49.64,1,3600,0,5252687,58.42,1,3600,0,5252687,100.55,1,1200,2560,5252687,3600.26,0,3600,2304,5252687,1492.1,1,3600,2560,5252687,1798.13,0,3600,0,5252687,392.4,1,3600,2560,5252687,35.41,1,3600,2560,5252687,3600,0,3600,256,5252687,0.03,0,3600,65280,5252687,0,0,3600,0,5252687,0,0,3600,0,5252687,0,0,3600,65280,5252687,20.81,0,3600,2816,5252687,19.64,0,3600,2816,5252687,19.59,0,3600,2816,5252687,19.81,0,3600,2816,5252687,521046,13376161,483334,13289997,0.07802472,0.006483372,0.036368255,0.583355127,0.695342415,0,1,1.284157452,6.27E-06,3.7957953,4.14E-06,0.013839291,0.933106705,0,0.635591791,0.95885665,6.27E-06,13.38158926,4.51E-07,0.016466445,4.357646583,0.483296647,0.269802801,0,1,4.123690841,4.63E-06,9.19635591,0,0.008309031,4.233380467,0.956861465,0.000116543,1.30415282,3.76E-07,0.008917007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913036415,0.21567526,0,1,0.99999844,0.500000153,0.999960947,0.974812306,0.998710845,0.057104153,2.246208026,0,0.5,0.241066699,7.19E-07,0.023249848,3.01E-05,0.001223135,0,0,0,0,0,1964874,0,0,0,0,0,0,8132.887755,0,3.465266372,0,0.389975669,0.521190316,201.1,3.85,796.75,3.42,2,200.93,1590.5,21.05,3.11
